date,min_age_limit,available_capacity,pincode,name,state_name,district_name,fee_type
13-05-2021,45,269,201301,DISTRICT COMBINED HOSPITAL,Uttar Pradesh,Gautam Buddha Nagar,Free
11-05-2021,45,120,203135,PHC JEWAR,Uttar Pradesh,Gautam Buddha Nagar,Free
11-05-2021,45,120,201301,CHC BADALPUR,Uttar Pradesh,Gautam Buddha Nagar,Free
11-05-2021,45,120,203201,PHC DANKAUR,Uttar Pradesh,Gautam Buddha Nagar,Free
12-05-2021,45,120,203135,PHC JEWAR,Uttar Pradesh,Gautam Buddha Nagar,Free
12-05-2021,45,120,203135,CHC JEWAR,Uttar Pradesh,Gautam Buddha Nagar,Free
12-05-2021,45,120,201301,DISTRICT COMBINED HOSPITAL,Uttar Pradesh,Gautam Buddha Nagar,Free
13-05-2021,45,120,203135,PHC JEWAR,Uttar Pradesh,Gautam Buddha Nagar,Free
14-05-2021,45,120,203135,CHC JEWAR,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,119,203135,CHC JEWAR,Uttar Pradesh,Gautam Buddha Nagar,Free
12-05-2021,45,119,201301,CHC BADALPUR,Uttar Pradesh,Gautam Buddha Nagar,Free
11-05-2021,45,118,203207,N T PC,Uttar Pradesh,Gautam Buddha Nagar,Free
11-05-2021,45,118,203135,CHC JEWAR,Uttar Pradesh,Gautam Buddha Nagar,Free
13-05-2021,45,118,203201,PHC DANKAUR,Uttar Pradesh,Gautam Buddha Nagar,Free
10-05-2021,45,117,203135,PHC JEWAR,Uttar Pradesh,Gautam Buddha Nagar,Free
12-05-2021,45,117,203201,PHC DANKAUR,Uttar Pradesh,Gautam Buddha Nagar,Free
13-05-2021,45,116,201301,CHC BADALPUR,Uttar Pradesh,Gautam Buddha Nagar,Free
12-05-2021,45,115,203207,Chc Dadri,Uttar Pradesh,Gautam Buddha Nagar,Free
10-05-2021,45,114,203201,PHC DANKAUR,Uttar Pradesh,Gautam Buddha Nagar,Free
12-05-2021,45,113,203207,N T PC,Uttar Pradesh,Gautam Buddha Nagar,Free
10-05-2021,45,112,203135,CHC JEWAR,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,111,203135,PHC JEWAR,Uttar Pradesh,Gautam Buddha Nagar,Free
11-05-2021,45,111,203201,Chc Dadha Kasna,Uttar Pradesh,Gautam Buddha Nagar,Free
11-05-2021,45,111,203207,Chc Dadri,Uttar Pradesh,Gautam Buddha Nagar,Free
13-05-2021,45,111,203207,Chc Dadri,Uttar Pradesh,Gautam Buddha Nagar,Free
13-05-2021,45,106,203207,N T PC,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,105,203201,PHC DANKAUR,Uttar Pradesh,Gautam Buddha Nagar,Free
10-05-2021,45,95,203201,Chc Dadha Kasna,Uttar Pradesh,Gautam Buddha Nagar,Free
10-05-2021,45,94,203207,Chc Dadri,Uttar Pradesh,Gautam Buddha Nagar,Free
13-05-2021,45,91,201301,PHC BISRAKH,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,90,203207,SAINTHALI HWC DADRI,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,90,203135,HWC Bankapur,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,90,203135,PHC Thora,Uttar Pradesh,Gautam Buddha Nagar,Free
10-05-2021,45,90,203135,HWC Bankapur,Uttar Pradesh,Gautam Buddha Nagar,Free
10-05-2021,45,90,203135,HWC Chauroli,Uttar Pradesh,Gautam Buddha Nagar,Free
11-05-2021,45,90,203207,KOT HWC DADRI,Uttar Pradesh,Gautam Buddha Nagar,Free
11-05-2021,45,90,203207,KUDIKHEDA HWC DADRI,Uttar Pradesh,Gautam Buddha Nagar,Free
11-05-2021,45,90,203207,SAINTHALI HWC DADRI,Uttar Pradesh,Gautam Buddha Nagar,Free
11-05-2021,45,90,203135,HWC Bankapur,Uttar Pradesh,Gautam Buddha Nagar,Free
11-05-2021,45,90,203201,UPHC KASHNA,Uttar Pradesh,Gautam Buddha Nagar,Free
11-05-2021,45,90,203135,HWC Chauroli,Uttar Pradesh,Gautam Buddha Nagar,Free
12-05-2021,45,90,203207,KOT HWC DADRI,Uttar Pradesh,Gautam Buddha Nagar,Free
12-05-2021,45,90,203207,SAINTHALI HWC DADRI,Uttar Pradesh,Gautam Buddha Nagar,Free
13-05-2021,45,90,203207,KOT HWC DADRI,Uttar Pradesh,Gautam Buddha Nagar,Free
13-05-2021,45,90,203207,SAINTHALI HWC DADRI,Uttar Pradesh,Gautam Buddha Nagar,Free
14-05-2021,45,90,203135,HWC Chauroli,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,89,203135,HWC Birampur,Uttar Pradesh,Gautam Buddha Nagar,Free
09-05-2021,45,89,203201,Chc Dadha Kasna,Uttar Pradesh,Gautam Buddha Nagar,Free
11-05-2021,45,89,203207,UPHC DADRI,Uttar Pradesh,Gautam Buddha Nagar,Free
12-05-2021,45,89,203207,UPHC DADRI,Uttar Pradesh,Gautam Buddha Nagar,Free
