date min_age_limit available_capacity pincode name state_name district_name fee_type
08-05-2021 45 209 600040 "AGATHIYAR NAGAR UPHC" "Tamil Nadu" Chennai Free
08-05-2021 45 206 600038 "Aminjikarai East COVAXIN" "Tamil Nadu" Chennai Free
08-05-2021 45 198 600014 "PALAVANTHANGAL UPHC 1" "Tamil Nadu" Chennai Free
08-05-2021 45 69 600081 "Apollo Hospital Tondiarpet" "Tamil Nadu" Chennai Paid
08-05-2021 45 50 600102 "Manali New Town Uphc 1" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600011 "Sharma Nagar 1" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600023 "NAN SOUTH UPHC" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600110 "Sharma Nagar - COVAXIN" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600081 "Jeeva Nagar 1" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600023 "Ayanavaram UCHC - HCW" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600019 "Thaangal UPHC COVAXIN" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600021 "Sanjeevarayanpet UCHC COVAXIN" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600001 "Amman Koil South UPHC" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600019 "Thaangal UPHC 1" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600001 "Stanley MCH" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600060 "Kannabiran UPHC 1" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600005 "Pudupet UPHC 1" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600007 "Perumalpet UPHC 1" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600019 "Thiruvottiyur -UCHC" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600118 "Vivekanantha Nagar Uphc 1" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600019 "Sathangadu UPHC 1" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600060 "Madhavaram GH 1" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600057 "Ernavoor UPHC 1" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600060 "Madavaram UCHC - HCW" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600081 "VOC Nagar 1" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600081 "Tondiarpet Uphc 1" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600021 "RK Nagar UCHC - COVAXIN" "Tamil Nadu" Chennai Free
08-05-2021 45 50 600009 "Secretariat COVISHIELD" "Tamil Nadu" Chennai Free
09-05-2021 45 50 600039 "Elango Nagar UPHC 1" "Tamil Nadu" Chennai Free
09-05-2021 45 50 600039 "Vyasarpadi UPHC 1" "Tamil Nadu" Chennai Free
09-05-2021 45 50 600060 "Kannabiran UPHC 1" "Tamil Nadu" Chennai Free
09-05-2021 45 50 600118 "Vivekanantha Nagar Uphc 1" "Tamil Nadu" Chennai Free
09-05-2021 45 50 600060 "Madhavaram GH 1" "Tamil Nadu" Chennai Free
