date min_age_limit available_capacity pincode name state_name district_name fee_type
14-05-2021 45 50 828134 "CHC CHANDANKIYARI 2.0" Jharkhand Bokaro Free
14-05-2021 45 50 827013 "ANM TC ROOM 5" Jharkhand Bokaro Free
14-05-2021 45 50 827013 "PAN PUPUNKI CHAS" Jharkhand Bokaro Free
14-05-2021 45 50 827013 "HSC NAWADIH HSC KURRA" Jharkhand Bokaro Free
14-05-2021 45 50 827013 "ANM TC ROOM 3" Jharkhand Bokaro Free
14-05-2021 45 50 827013 "HSC PINDRAJORA CHAS" Jharkhand Bokaro Free
14-05-2021 45 50 829144 "HSC BIRNI NAWADIH" Jharkhand Bokaro Free
14-05-2021 45 50 827013 "ANM TC ROOM 4" Jharkhand Bokaro Free
14-05-2021 45 50 829144 "HSC NARRA (FATEHPUR) NAWADIH" Jharkhand Bokaro Free
15-05-2021 45 50 829121 "PAN ULGADDA" Jharkhand Bokaro Free
15-05-2021 45 50 827013 "PAN CHAS BELUNJA" Jharkhand Bokaro Free
15-05-2021 45 50 829144 "PAN MIDDLE SCHOOL GONIYATO" Jharkhand Bokaro Free
15-05-2021 45 50 829111 "PAN BADKI SIDWARA" Jharkhand Bokaro Free
15-05-2021 45 50 829144 "PAN BHAWAN MUNGORANGAMATI" Jharkhand Bokaro Free
15-05-2021 45 50 827010 "PAN BHASKI JARIDIH" Jharkhand Bokaro Free
15-05-2021 45 50 829111 "PAN CHATROCHATI" Jharkhand Bokaro Free
15-05-2021 45 50 827013 "PAN BRAHAMANDWARIKA" Jharkhand Bokaro Free
15-05-2021 45 50 827302 "PAN MURHULSUDI KASMAR" Jharkhand Bokaro Free
15-05-2021 45 50 827013 "PAN MADHUNIA 1" Jharkhand Bokaro Free
15-05-2021 45 50 829111 "PAN MS HURLUNG GOMIA" Jharkhand Bokaro Free
16-05-2021 45 50 827302 "PAN MURHULSUDI KASMAR" Jharkhand Bokaro Free
16-05-2021 45 50 829111 "PAN HIGHSCHOOL BHAND" Jharkhand Bokaro Free
16-05-2021 45 50 827013 "PAN KUMHRI 1 CHAS" Jharkhand Bokaro Free
16-05-2021 45 50 827010 "PAN GAYCHANDA JARIDIH" Jharkhand Bokaro Free
16-05-2021 45 50 829111 "PAN KARIKURDH" Jharkhand Bokaro Free
16-05-2021 45 50 827013 "PAN BIJULIA CHAS NEW" Jharkhand Bokaro Free
16-05-2021 45 50 829121 "PAN CHAPI PETARWAR" Jharkhand Bokaro Free
