date min_age_limit available_capacity pincode name state_name district_name fee_type
14-05-2021 45 50 825314 "Mandu 5" Jharkhand Ramgarh Free
14-05-2021 45 50 829106 "PATRATU 3" Jharkhand Ramgarh Free
14-05-2021 45 50 825314 "MANDU 2" Jharkhand Ramgarh Free
14-05-2021 45 50 825101 "CCL SIVER JUBLEE HOSPITAL" Jharkhand Ramgarh Free
14-05-2021 45 50 825325 "MANDU 4" Jharkhand Ramgarh Free
14-05-2021 45 50 829110 "GOLA CENTER 4" Jharkhand Ramgarh Free
14-05-2021 45 50 829110 "GOVT HOSPITAL Gola" Jharkhand Ramgarh Free
14-05-2021 45 50 825101 "Chitarpur Block" Jharkhand Ramgarh Free
14-05-2021 45 50 829103 "MANDU 1" Jharkhand Ramgarh Free
14-05-2021 45 50 829110 "GOLA SOSOKALA" Jharkhand Ramgarh Free
14-05-2021 45 50 825314 "Mandu 7" Jharkhand Ramgarh Free
14-05-2021 45 50 829106 "PATRATU 2" Jharkhand Ramgarh Free
14-05-2021 45 50 829122 "Sadar Prakhand Ramgarh" Jharkhand Ramgarh Free
14-05-2021 45 50 825330 "MANDU 3" Jharkhand Ramgarh Free
14-05-2021 45 50 829106 "AKC BHURKUNDA HOSPITAL" Jharkhand Ramgarh Free
14-05-2021 45 50 829150 "TATA GHATO CAMP" Jharkhand Ramgarh Free
14-05-2021 45 50 829110 "GOLA CHOKAD" Jharkhand Ramgarh Free
14-05-2021 45 50 829143 "Jspl Jindal Balkudra" Jharkhand Ramgarh Free
14-05-2021 45 49 825101 "Dulmi Block" Jharkhand Ramgarh Free
14-05-2021 45 49 829118 "PATRATU 4" Jharkhand Ramgarh Free
14-05-2021 45 49 829122 "CCL Central Hospital Ramgarh" Jharkhand Ramgarh Free
14-05-2021 45 49 829119 "PATRATU 5" Jharkhand Ramgarh Free
14-05-2021 45 48 825316 "Mandu CHC Mandu" Jharkhand Ramgarh Free
14-05-2021 45 48 829110 "Gola CHC Gola" Jharkhand Ramgarh Free
14-05-2021 45 48 829118 "Patratu CHC Patratu" Jharkhand Ramgarh Free
14-05-2021 45 46 829122 "Cantonment Board Ramgarh" Jharkhand Ramgarh Free
14-05-2021 45 45 825316 "Mandu 6" Jharkhand Ramgarh Free
14-05-2021 45 40 829122 "SADAR HOSP 2ND DOSE" Jharkhand Ramgarh Free
15-05-2021 45 39 825316 "Mandu 6" Jharkhand Ramgarh Free
16-05-2021 45 37 829106 "PATRATU 1" Jharkhand Ramgarh Free
14-05-2021 45 23 829122 "Sadar Hospital Ramgarh" Jharkhand Ramgarh Free
