date min_age_limit available_capacity pincode name state_name district_name fee_type
09-05-2021 45 1049.0 263621 "Binta Hospital" Uttarakhand Almora Free
09-05-2021 45 1048.0 263653 Dwarahat Uttarakhand Almora Free
10-05-2021 45 1034.0 263653 Dwarahat Uttarakhand Almora Free
09-05-2021 45 100.0 263667 Bhikiyasen Uttarakhand Almora Free
09-05-2021 45 100.0 263659 Deghat Uttarakhand Almora Free
09-05-2021 45 100.0 263628 Takula Uttarakhand Almora Free
09-05-2021 45 100.0 263667 Vinayak Uttarakhand Almora Free
09-05-2021 45 100.0 263659 SyaldePHC Uttarakhand Almora Free
09-05-2021 45 100.0 263622 Dhauladevi Uttarakhand Almora Free
09-05-2021 45 100.0 263625 LamgaraPHC Uttarakhand Almora Free
10-05-2021 45 100.0 263624 Barechhena Uttarakhand Almora Free
11-05-2021 45 100.0 263601 "Dist Hospital Ramsay Covaxin" Uttarakhand Almora Free
12-05-2021 45 100.0 263601 "Dist Hospital Ramsay Covaxin" Uttarakhand Almora Free
13-05-2021 45 100.0 263601 "Dist Hospital Ramsay Covaxin" Uttarakhand Almora Free
14-05-2021 45 100.0 263601 "Hotel Managment" Uttarakhand Almora Free
14-05-2021 45 100.0 263601 "Dist Hospital Ramsay Covaxin" Uttarakhand Almora Free
15-05-2021 45 100.0 263601 "Dist Hospital Ramsay Covaxin" Uttarakhand Almora Free
09-05-2021 45 99.0 263667 "BHTROJKHAN PHC" Uttarakhand Almora Free
09-05-2021 45 99.0 263624 Barechhena Uttarakhand Almora Free
09-05-2021 45 99.0 263636 Hawalbagh Uttarakhand Almora Free
10-05-2021 45 99.0 263667 "BHTROJKHAN PHC" Uttarakhand Almora Free
10-05-2021 45 99.0 263667 Vinayak Uttarakhand Almora Free
09-05-2021 45 98.0 263663 "Tarikhet Government Hospital" Uttarakhand Almora Free
10-05-2021 45 98.0 263659 Deghat Uttarakhand Almora Free
10-05-2021 45 98.0 263628 Takula Uttarakhand Almora Free
10-05-2021 45 98.0 263663 "Tarikhet Government Hospital" Uttarakhand Almora Free
10-05-2021 45 98.0 263659 SyaldePHC Uttarakhand Almora Free
10-05-2021 45 98.0 263676 "Sult Dewayal" Uttarakhand Almora Free
11-05-2021 45 98.0 263625 LamgaraPHC Uttarakhand Almora Free
10-05-2021 45 97.0 263621 "Binta Hospital" Uttarakhand Almora Free
11-05-2021 45 97.0 263636 Hawalbagh Uttarakhand Almora Free
10-05-2021 45 96.0 263626 JaintiCHC Uttarakhand Almora Free
10-05-2021 45 96.0 263663 Pilkholi Uttarakhand Almora Free
09-05-2021 45 95.0 263645 "Ranikhet Government Hospital" Uttarakhand Almora Free
10-05-2021 45 95.0 263667 Bhikiyasen Uttarakhand Almora Free
10-05-2021 45 95.0 263601 "Hotel Managment" Uttarakhand Almora Free
10-05-2021 45 94.0 263636 Hawalbagh Uttarakhand Almora Free
10-05-2021 45 93.0 263601 "Dist Hospital Ramsay Covaxin" Uttarakhand Almora Free
10-05-2021 45 93.0 263601 "Hotel Managment Covishield" Uttarakhand Almora Free
11-05-2021 45 93.0 263601 "District Hospital (Ramsay)" Uttarakhand Almora Free
12-05-2021 45 92.0 263601 "District Hospital (Ramsay)" Uttarakhand Almora Free
14-05-2021 45 91.0 263601 "District Hospital (Ramsay)" Uttarakhand Almora Free
10-05-2021 45 88.0 263658 Chaukutia Uttarakhand Almora Free
09-05-2021 45 87.0 263658 Chaukutia Uttarakhand Almora Free
15-05-2021 45 86.0 263601 "District Hospital (Ramsay)" Uttarakhand Almora Free
10-05-2021 45 83.0 263601 "District Hospital (Ramsay)" Uttarakhand Almora Free
10-05-2021 45 82.0 263645 "Ranikhet Government Hospital" Uttarakhand Almora Free
09-05-2021 45 75.0 263621 Bashulisera Uttarakhand Almora Free
14-05-2021 45 73.0 263645 "Ranikhet Govt Hospital Covaxin" Uttarakhand Almora Free
09-05-2021 45 50.0 263629 BIJORIA Uttarakhand Almora Free
09-05-2021 45 50.0 263676 "Manila Govt Hospital" Uttarakhand Almora Free
