date min_age_limit available_capacity pincode name state_name district_name fee_type
11-05-2021 45 117 224123 "SRI RAM HOSPITAL Ayodhya" "Uttar Pradesh" Ayodhya Free
12-05-2021 45 99 224123 "SRI RAM HOSPITAL Ayodhya" "Uttar Pradesh" Ayodhya Free
08-05-2021 45 60 224116 "PHC SHUJA GANJ" "Uttar Pradesh" Ayodhya Free
08-05-2021 45 60 224189 "HWC Kareru Sohawal" "Uttar Pradesh" Ayodhya Free
10-05-2021 45 60 224189 "HWC Kareru Sohawal" "Uttar Pradesh" Ayodhya Free
10-05-2021 45 52 224189 "PHC Mubarakganj" "Uttar Pradesh" Ayodhya Free
08-05-2021 45 50 224118 "PHC Umapur Covishield 45 Above" "Uttar Pradesh" Ayodhya Free
08-05-2021 45 50 224141 "CHC Gosaiganj" "Uttar Pradesh" Ayodhya Free
11-05-2021 45 50 224229 "100 Bed Kumarganj Covis 45 Abo" "Uttar Pradesh" Ayodhya Free
11-05-2021 45 50 224121 "PHC Amaniganj" "Uttar Pradesh" Ayodhya Free
11-05-2021 45 50 224121 "PHC Gaddopur" "Uttar Pradesh" Ayodhya Free
12-05-2021 45 50 224153 "CHC Khandasa Covaxin" "Uttar Pradesh" Ayodhya Free
12-05-2021 45 50 224229 "100 Bed Kumarganj Covis 45 Abo" "Uttar Pradesh" Ayodhya Free
12-05-2021 45 50 224121 "PHC Amaniganj" "Uttar Pradesh" Ayodhya Free
13-05-2021 45 50 224153 "CHC Khandasa Covaxin" "Uttar Pradesh" Ayodhya Free
13-05-2021 45 50 224229 "100 Bed Kumarganj Covis 45 Abo" "Uttar Pradesh" Ayodhya Free
13-05-2021 45 50 224121 "PHC Amaniganj" "Uttar Pradesh" Ayodhya Free
14-05-2021 45 50 224153 "CHC Khandasa Covaxin" "Uttar Pradesh" Ayodhya Free
14-05-2021 45 50 224229 "100 Bed Kumarganj Covis 45 Abo" "Uttar Pradesh" Ayodhya Free
14-05-2021 45 50 224121 "PHC Amaniganj" "Uttar Pradesh" Ayodhya Free
14-05-2021 45 50 224121 "PHC Gaddopur" "Uttar Pradesh" Ayodhya Free
11-05-2021 45 49 224153 "CHC Khandasa Covaxin" "Uttar Pradesh" Ayodhya Free
13-05-2021 45 49 224121 "PHC Gaddopur" "Uttar Pradesh" Ayodhya Free
08-05-2021 45 48 224001 "PHC Kotsaray Covish 45 Above" "Uttar Pradesh" Ayodhya Free
10-05-2021 45 48 224118 "PHC Umapur Covishield 45 Above" "Uttar Pradesh" Ayodhya Free
10-05-2021 45 48 224229 "100 Bed Kumarganj Covis 45 Abo" "Uttar Pradesh" Ayodhya Free
12-05-2021 45 48 224121 "PHC Gaddopur" "Uttar Pradesh" Ayodhya Free
11-05-2021 45 46 224135 "CHC Poorabazar Covish 45 Above" "Uttar Pradesh" Ayodhya Free
10-05-2021 45 36 224001 "PHC Kotsaray Covish 45 Above" "Uttar Pradesh" Ayodhya Free
10-05-2021 45 35 224135 "CHC Poorabazar Covish 45 Above" "Uttar Pradesh" Ayodhya Free
10-05-2021 45 32 224205 "CHC HAIDARGANJ" "Uttar Pradesh" Ayodhya Free
10-05-2021 45 31 224117 "CHC Mawai Covishield 45 Above" "Uttar Pradesh" Ayodhya Free
10-05-2021 45 31 224123 "SRI RAM HOSPITAL Ayodhya" "Uttar Pradesh" Ayodhya Free
10-05-2021 45 30 224121 "PHC Amaniganj" "Uttar Pradesh" Ayodhya Free
10-05-2021 45 27 224153 "CHC Khandasa Covaxin" "Uttar Pradesh" Ayodhya Free
10-05-2021 45 26 224135 "A.S. Medical Collage" "Uttar Pradesh" Ayodhya Free
10-05-2021 45 25 224121 "PHC Gaddopur" "Uttar Pradesh" Ayodhya Free
10-05-2021 45 22 224229 "PHC Kumarganj" "Uttar Pradesh" Ayodhya Free
10-05-2021 45 18 224161 "CHC Mayabazar Covishi 45 Above" "Uttar Pradesh" Ayodhya Free
10-05-2021 45 13 224120 "CHC Rudauli" "Uttar Pradesh" Ayodhya Free
10-05-2021 45 12 224164 "CHC Milkipur" "Uttar Pradesh" Ayodhya Free
10-05-2021 45 12 224188 "CHC SOHAWAL" "Uttar Pradesh" Ayodhya Free
10-05-2021 45 7 224195 "CHC Tarun" "Uttar Pradesh" Ayodhya Free
10-05-2021 45 2 224141 "CHC Gosaiganj" "Uttar Pradesh" Ayodhya Free
10-05-2021 45 2 224208 "CHC Haringtonganj Covis45Above" "Uttar Pradesh" Ayodhya Free
