date min_age_limit available_capacity pincode name state_name district_name fee_type
13-05-2021 18 274 224135 "Med.College Covishie 18 To 44" "Uttar Pradesh" Ayodhya Free
14-05-2021 18 273 224135 "Med.College Covishie 18 To 44" "Uttar Pradesh" Ayodhya Free
12-05-2021 18 258 224135 "Med.College Covishie 18 To 44" "Uttar Pradesh" Ayodhya Free
15-05-2021 18 255 224135 "Med.College Covishie 18 To 44" "Uttar Pradesh" Ayodhya Free
13-05-2021 18 180 224120 "CHC Rudauli Covishiel-18 To 44" "Uttar Pradesh" Ayodhya Free
14-05-2021 18 176 224120 "CHC Rudauli Covishiel-18 To 44" "Uttar Pradesh" Ayodhya Free
12-05-2021 18 168 224120 "CHC Rudauli Covishiel-18 To 44" "Uttar Pradesh" Ayodhya Free
15-05-2021 18 161 224120 "CHC Rudauli Covishiel-18 To 44" "Uttar Pradesh" Ayodhya Free
14-05-2021 18 118 224117 "CHC Mawai Covishiel 18 To 44" "Uttar Pradesh" Ayodhya Free
13-05-2021 18 116 224164 "CHC Milkipur Covishie 18 To 44" "Uttar Pradesh" Ayodhya Free
14-05-2021 18 115 224161 "CHC Mayabazar Covishi 18 To 44" "Uttar Pradesh" Ayodhya Free
13-05-2021 18 114 224195 "CHC Tarun Covishi 18 To 44" "Uttar Pradesh" Ayodhya Free
13-05-2021 18 114 224117 "CHC Mawai Covishiel 18 To 44" "Uttar Pradesh" Ayodhya Free
14-05-2021 18 114 224164 "CHC Milkipur Covishie 18 To 44" "Uttar Pradesh" Ayodhya Free
14-05-2021 18 112 224141 "CHC Gosaiganj Covishi 18 To 44" "Uttar Pradesh" Ayodhya Free
12-05-2021 18 110 224117 "CHC Mawai Covishiel 18 To 44" "Uttar Pradesh" Ayodhya Free
14-05-2021 18 110 224195 "CHC Tarun Covishi 18 To 44" "Uttar Pradesh" Ayodhya Free
13-05-2021 18 109 224161 "CHC Mayabazar Covishi 18 To 44" "Uttar Pradesh" Ayodhya Free
12-05-2021 18 108 224195 "CHC Tarun Covishi 18 To 44" "Uttar Pradesh" Ayodhya Free
15-05-2021 18 108 224164 "CHC Milkipur Covishie 18 To 44" "Uttar Pradesh" Ayodhya Free
12-05-2021 18 107 224164 "CHC Milkipur Covishie 18 To 44" "Uttar Pradesh" Ayodhya Free
14-05-2021 18 107 224188 "CHC SOHAWAL Covishiel 18 To 44" "Uttar Pradesh" Ayodhya Free
15-05-2021 18 107 224195 "CHC Tarun Covishi 18 To 44" "Uttar Pradesh" Ayodhya Free
15-05-2021 18 107 224161 "CHC Mayabazar Covishi 18 To 44" "Uttar Pradesh" Ayodhya Free
14-05-2021 18 100 224208 "CHC Haringtonganj 18 To 44" "Uttar Pradesh" Ayodhya Free
15-05-2021 18 99 224188 "CHC SOHAWAL Covishiel 18 To 44" "Uttar Pradesh" Ayodhya Free
15-05-2021 18 98 224135 "CHC Poorabazar Covish 18 To 44" "Uttar Pradesh" Ayodhya Free
13-05-2021 18 97 224188 "CHC SOHAWAL Covishiel 18 To 44" "Uttar Pradesh" Ayodhya Free
13-05-2021 18 97 224208 "CHC Haringtonganj 18 To 44" "Uttar Pradesh" Ayodhya Free
14-05-2021 18 97 224204 "CHC Bikapur Covishi 18 To 44" "Uttar Pradesh" Ayodhya Free
