date min_age_limit available_capacity pincode name state_name district_name fee_type
14-05-2021 45 49 562110 "Uganavadi Subcentre" Karnataka "Bangalore Rural" Free
13-05-2021 45 48 562110 "Uganavadi Subcentre" Karnataka "Bangalore Rural" Free
10-05-2021 45 47 562132 "Thadasighatta PHC" Karnataka "Bangalore Rural" Free
11-05-2021 45 45 562110 "Uganavadi Subcentre" Karnataka "Bangalore Rural" Free
15-05-2021 45 44 562110 "Godlumuddenahalli PHC" Karnataka "Bangalore Rural" Free
12-05-2021 45 43 562110 "Uganavadi Subcentre" Karnataka "Bangalore Rural" Free
09-05-2021 45 22 562110 "Uganavadi Subcentre" Karnataka "Bangalore Rural" Free
15-05-2021 45 18 562164 "Avathi PHC" Karnataka "Bangalore Rural" Free
10-05-2021 45 17 562110 "Uganavadi Subcentre" Karnataka "Bangalore Rural" Free
09-05-2021 45 10 562110 "Hegganahalli Subcentre" Karnataka "Bangalore Rural" Free
14-05-2021 45 9 562110 "Sadahalli PHC" Karnataka "Bangalore Rural" Free
15-05-2021 45 8 561204 "Gundumgere Hosahalli PHC" Karnataka "Bangalore Rural" Free
10-05-2021 45 5 562110 "Hegganahalli Subcentre" Karnataka "Bangalore Rural" Free
14-05-2021 45 4 562129 "Nalluru Phc" Karnataka "Bangalore Rural" Free
