date min_age_limit available_capacity pincode name state_name district_name fee_type
11-05-2021 45 247 600040 "Aminjikarai West UPHC" "Tamil Nadu" Chennai Free
17-05-2021 45 241 600049 "RAJAMANGALAM UPHC" "Tamil Nadu" Chennai Free
16-05-2021 45 226 600049 "RAJAMANGALAM UPHC" "Tamil Nadu" Chennai Free
12-05-2021 45 151 600119 "SEMMANCHERRY UPHC" "Tamil Nadu" Chennai Free
11-05-2021 45 50 600003 "RGGH COVIESHIELD" "Tamil Nadu" Chennai Free
11-05-2021 45 50 600102 "Manali New Town Uphc 1" "Tamil Nadu" Chennai Free
11-05-2021 45 50 600057 "Kathivakkam UPHC 1" "Tamil Nadu" Chennai Free
11-05-2021 45 50 600019 "Sathangadu UPHC 1" "Tamil Nadu" Chennai Free
11-05-2021 45 50 600066 "Puzhal UPHC 1" "Tamil Nadu" Chennai Free
11-05-2021 45 50 600009 "Secretariat COVISHIELD" "Tamil Nadu" Chennai Free
11-05-2021 45 50 600079 "P.K.Garden UPHC 1" "Tamil Nadu" Chennai Free
11-05-2021 45 50 600019 "Thiruvottiyur -UCHC" "Tamil Nadu" Chennai Free
11-05-2021 45 50 600005 "Pudupet UPHC 1" "Tamil Nadu" Chennai Free
11-05-2021 45 50 600118 "Kodungaiyur Uphc 1" "Tamil Nadu" Chennai Free
11-05-2021 45 50 600081 "CDH Tondiarpet" "Tamil Nadu" Chennai Free
11-05-2021 45 50 600021 "Korukkupet Uphc 1" "Tamil Nadu" Chennai Free
11-05-2021 45 50 600021 "RK NAGAR UCHC - HCW" "Tamil Nadu" Chennai Free
11-05-2021 45 50 600060 "Kannabiran UPHC 1" "Tamil Nadu" Chennai Free
11-05-2021 45 50 600021 "Sanjeevarayanpet- UCHC" "Tamil Nadu" Chennai Free
11-05-2021 45 50 600118 "Vivekanantha Nagar Uphc 1" "Tamil Nadu" Chennai Free
11-05-2021 45 50 600057 "Ernavoor UPHC 1" "Tamil Nadu" Chennai Free
12-05-2021 45 50 600102 "Manali New Town Uphc 1" "Tamil Nadu" Chennai Free
12-05-2021 45 50 600066 "Puzhal UPHC 1" "Tamil Nadu" Chennai Free
12-05-2021 45 50 600118 "Vivekanantha Nagar Uphc 1" "Tamil Nadu" Chennai Free
13-05-2021 45 50 600057 "Kathivakkam UPHC 1" "Tamil Nadu" Chennai Free
13-05-2021 45 50 600021 "Korukkupet Uphc 1" "Tamil Nadu" Chennai Free
11-05-2021 45 49 600060 "Madavaram UCHC - HCW" "Tamil Nadu" Chennai Free
11-05-2021 45 49 600049 "Villivakkam III UPHC" "Tamil Nadu" Chennai Free
11-05-2021 45 49 600012 "Perumalpet UPHC COVAXIN" "Tamil Nadu" Chennai Free
12-05-2021 45 49 600057 "Kathivakkam UPHC 1" "Tamil Nadu" Chennai Free
12-05-2021 45 49 600118 "Kodungaiyur Uphc 1" "Tamil Nadu" Chennai Free
13-05-2021 45 49 600118 "Kodungaiyur Uphc 1" "Tamil Nadu" Chennai Free
14-05-2021 45 49 600057 "Kathivakkam UPHC 1" "Tamil Nadu" Chennai Free
