date min_age_limit available_capacity pincode name state_name district_name fee_type
11-05-2021 45 200 110054 "Balak Ram Hospital SITE 5" Delhi "Central Delhi" Free
13-05-2021 45 200 110054 "Balak Ram Hospital SITE 4" Delhi "Central Delhi" Free
13-05-2021 45 200 110054 "Balak Ram Hospital SITE 5" Delhi "Central Delhi" Free
15-05-2021 45 200 110007 "Hindu Rao Hospital SITE 4" Delhi "Central Delhi" Free
15-05-2021 45 200 110054 "Balak Ram Hospital SITE 5" Delhi "Central Delhi" Free
15-05-2021 45 200 110054 "Balak Ram Hospital SITE 6" Delhi "Central Delhi" Free
17-05-2021 45 200 110006 "LNJP Hospital Site 3" Delhi "Central Delhi" Free
17-05-2021 45 200 110007 "Hindu Rao Hospital SITE 6" Delhi "Central Delhi" Free
17-05-2021 45 200 110054 "Balak Ram Hospital SITE 4" Delhi "Central Delhi" Free
17-05-2021 45 200 110054 "Balak Ram Hospital SITE 6" Delhi "Central Delhi" Free
11-05-2021 45 199 110006 "Northern Railway Hospital" Delhi "Central Delhi" Free
12-05-2021 45 199 110054 "Balak Ram Hospital SITE 6" Delhi "Central Delhi" Free
13-05-2021 45 199 110007 "Hindu Rao Hospital SITE 5" Delhi "Central Delhi" Free
13-05-2021 45 199 110054 "Balak Ram Hospital SITE 6" Delhi "Central Delhi" Free
14-05-2021 45 199 110054 "Balak Ram Hospital SITE 4" Delhi "Central Delhi" Free
14-05-2021 45 199 110054 "Balak Ram Hospital SITE 5" Delhi "Central Delhi" Free
17-05-2021 45 199 110007 "Hindu Rao Hospital SITE 4" Delhi "Central Delhi" Free
17-05-2021 45 199 110054 "Balak Ram Hospital SITE 5" Delhi "Central Delhi" Free
11-05-2021 45 198 110054 "Balak Ram Hospital SITE 6" Delhi "Central Delhi" Free
14-05-2021 45 198 110006 "LNJP Hospital Site 2" Delhi "Central Delhi" Free
14-05-2021 45 198 110054 "Balak Ram Hospital SITE 6" Delhi "Central Delhi" Free
17-05-2021 45 198 110054 "Balak Ram Hospital SITE 2" Delhi "Central Delhi" Free
17-05-2021 45 198 110006 "LNJP Hospital DH Site 5" Delhi "Central Delhi" Free
17-05-2021 45 198 110006 "LNJP Hospital Site 4" Delhi "Central Delhi" Free
12-05-2021 45 197 110054 "Balak Ram Hospital SITE 4" Delhi "Central Delhi" Free
13-05-2021 45 197 110006 "LNJP Hospital Site 3" Delhi "Central Delhi" Free
13-05-2021 45 197 110007 "Hindu Rao Hospital SITE 6" Delhi "Central Delhi" Free
13-05-2021 45 197 110006 "LNJP Hospital Site 2" Delhi "Central Delhi" Free
13-05-2021 45 197 110006 "LNJP Hospital DH Site 5" Delhi "Central Delhi" Free
14-05-2021 45 197 110054 "Balak Ram Hospital SITE 2" Delhi "Central Delhi" Free
17-05-2021 45 197 110007 "Hindu Rao Hosl DH SITE 3" Delhi "Central Delhi" Free
11-05-2021 45 196 110006 "LNJP Hospital Site 2" Delhi "Central Delhi" Free
12-05-2021 45 196 110006 "LNJP Hospital Site 4" Delhi "Central Delhi" Free
13-05-2021 45 196 110054 "Balak Ram Hospital SITE 3" Delhi "Central Delhi" Free
14-05-2021 45 196 110084 "BURARI HOSPTIAL SITE 5" Delhi "Central Delhi" Free
