date min_age_limit available_capacity pincode name state_name district_name fee_type
14-05-2021 45 48 403004 "Manipal Hospital" Goa "North Goa" Paid
15-05-2021 45 48 403004 "Manipal Hospital" Goa "North Goa" Paid
09-05-2021 45 10 403516 "PHC Candolim" Goa "North Goa" Free
12-05-2021 45 10 403506 "Valpoi CHC" Goa "North Goa" Free
13-05-2021 45 10 403504 "Mayem PHC" Goa "North Goa" Free
13-05-2021 45 10 403506 "Valpoi CHC" Goa "North Goa" Free
14-05-2021 45 10 403504 "Mayem PHC" Goa "North Goa" Free
14-05-2021 45 10 403506 "Valpoi CHC" Goa "North Goa" Free
15-05-2021 45 10 403506 "Valpoi CHC" Goa "North Goa" Free
10-05-2021 45 9 403506 "Valpoi CHC" Goa "North Goa" Free
11-05-2021 45 9 403506 "Valpoi CHC" Goa "North Goa" Free
12-05-2021 45 9 403504 "Mayem PHC" Goa "North Goa" Free
13-05-2021 45 9 403512 "Cansarvarem PHC" Goa "North Goa" Free
15-05-2021 45 9 403504 "Mayem PHC" Goa "North Goa" Free
11-05-2021 45 8 403504 "Mayem PHC" Goa "North Goa" Free
13-05-2021 45 8 403505 "Sankhali CHC" Goa "North Goa" Free
14-05-2021 45 8 403512 "Cansarvarem PHC" Goa "North Goa" Free
10-05-2021 45 7 403504 "Mayem PHC" Goa "North Goa" Free
13-05-2021 45 7 403504 "Bicholim Primary Health Centre" Goa "North Goa" Free
14-05-2021 45 7 403505 "Sankhali CHC" Goa "North Goa" Free
15-05-2021 45 7 403508 "Primary Health Centre Aldona" Goa "North Goa" Free
15-05-2021 45 7 403517 "PHC Siolim" Goa "North Goa" Free
15-05-2021 45 7 403505 "Sankhali CHC" Goa "North Goa" Free
15-05-2021 45 7 403512 "Cansarvarem PHC" Goa "North Goa" Free
13-05-2021 45 5 403508 "Primary Health Centre Aldona" Goa "North Goa" Free
14-05-2021 45 5 403504 "Bicholim Primary Health Centre" Goa "North Goa" Free
12-05-2021 45 4 403505 "Sankhali CHC" Goa "North Goa" Free
13-05-2021 45 4 403004 "Manipal Hospital" Goa "North Goa" Paid
14-05-2021 45 4 403508 "Primary Health Centre Aldona" Goa "North Goa" Free
15-05-2021 45 4 403104 "Mandur Rural Health Centre" Goa "North Goa" Free
15-05-2021 45 4 403512 "Community Health Centre Pernem" Goa "North Goa" Free
09-05-2021 45 3 403504 "CHC Bicholim Outreach" Goa "North Goa" Free
12-05-2021 45 3 403104 "Mandur Rural Health Centre" Goa "North Goa" Free
11-05-2021 45 2 403508 "Primary Health Centre Aldona" Goa "North Goa" Free
13-05-2021 45 2 403104 "Mandur Rural Health Centre" Goa "North Goa" Free
10-05-2021 45 1 403006 "Old Age Home Providoria" Goa "North Goa" Free
12-05-2021 45 1 403512 "Cansarvarem PHC" Goa "North Goa" Free
13-05-2021 45 1 403517 "PHC Siolim" Goa "North Goa" Free
14-05-2021 45 1 403104 "Mandur Rural Health Centre" Goa "North Goa" Free
15-05-2021 45 1 403504 "Bicholim Primary Health Centre" Goa "North Goa" Free
date min_age_limit available_capacity pincode name state_name district_name fee_type
