date min_age_limit available_capacity pincode name state_name district_name fee_type
10-05-2021 45 150 249407 "UPHC JWALAPUR-1" Uttarakhand Haridwar Free
11-05-2021 45 150 249407 "UPHC JWALAPUR -2" Uttarakhand Haridwar Free
12-05-2021 45 150 249407 "UPHC JWALAPUR-1" Uttarakhand Haridwar Free
13-05-2021 45 150 249401 "KUMBH HOSPITAL RODI" Uttarakhand Haridwar Free
13-05-2021 45 150 249407 "UPHC Kankhal" Uttarakhand Haridwar Free
13-05-2021 45 150 249410 "Kumbh Adhaar Base Hospital" Uttarakhand Haridwar Free
13-05-2021 45 150 249401 "UPHC Bhopatwala" Uttarakhand Haridwar Free
13-05-2021 45 150 249407 "UPHC JWALAPUR -2" Uttarakhand Haridwar Free
14-05-2021 45 150 249401 "KUMBH HOSPITAL RODI" Uttarakhand Haridwar Free
14-05-2021 45 150 249407 "UPHC Kankhal" Uttarakhand Haridwar Free
14-05-2021 45 150 249410 "Kumbh Adhaar Base Hospital" Uttarakhand Haridwar Free
14-05-2021 45 150 249407 "UPHC JWALAPUR-1" Uttarakhand Haridwar Free
14-05-2021 45 150 249401 "UPHC Bhopatwala" Uttarakhand Haridwar Free
14-05-2021 45 150 249407 "UPHC JWALAPUR -2" Uttarakhand Haridwar Free
11-05-2021 45 149 249407 "UPHC Kankhal" Uttarakhand Haridwar Free
11-05-2021 45 149 249407 "UPHC JWALAPUR-1" Uttarakhand Haridwar Free
12-05-2021 45 149 249407 "UPHC JWALAPUR -2" Uttarakhand Haridwar Free
13-05-2021 45 149 249407 "UPHC JWALAPUR-1" Uttarakhand Haridwar Free
09-05-2021 45 146 249401 "UPHC Bhopatwala" Uttarakhand Haridwar Free
10-05-2021 45 144 249407 "UPHC JWALAPUR -2" Uttarakhand Haridwar Free
10-05-2021 45 136 249407 "UPHC Kankhal" Uttarakhand Haridwar Free
09-05-2021 45 129 249407 "UPHC Kankhal" Uttarakhand Haridwar Free
12-05-2021 45 108 249401 "Prem Nagar Ashram Haridwar" Uttarakhand Haridwar Free
08-05-2021 45 100 249401 "KUMBH HOSPITAL RODI" Uttarakhand Haridwar Free
09-05-2021 45 97 249408 "Roshnabad PHC" Uttarakhand Haridwar Free
08-05-2021 45 93 249407 "UPHC Kankhal" Uttarakhand Haridwar Free
11-05-2021 45 93 249408 "BHEL Main Hospital" Uttarakhand Haridwar Free
12-05-2021 45 86 249408 "BHEL Main Hospital" Uttarakhand Haridwar Free
10-05-2021 45 54 249408 "BHEL Main Hospital" Uttarakhand Haridwar Free
08-05-2021 45 50 247667 Shantershah Uttarakhand Haridwar Free
08-05-2021 45 50 249408 "SC Khala Teera" Uttarakhand Haridwar Free
09-05-2021 45 50 247663 "Khanpur CHC" Uttarakhand Haridwar Free
09-05-2021 45 50 247663 "Sikenderpur Sc" Uttarakhand Haridwar Free
09-05-2021 45 50 249403 "UPHC RAMDHAM" Uttarakhand Haridwar Free
09-05-2021 45 50 247663 "Podowali Sc" Uttarakhand Haridwar Free
09-05-2021 45 50 249401 "UPHC TIBDI" Uttarakhand Haridwar Free
10-05-2021 45 50 249401 "KUMBH HOSPITAL RODI" Uttarakhand Haridwar Free
10-05-2021 45 50 249410 "Kumbh Adhaar Base Hospital" Uttarakhand Haridwar Free
10-05-2021 45 50 247663 "Sikenderpur Sc" Uttarakhand Haridwar Free
10-05-2021 45 50 247663 "Karanpur Sc" Uttarakhand Haridwar Free
10-05-2021 45 50 247663 "Dallawala Sc" Uttarakhand Haridwar Free
11-05-2021 45 50 249401 "KUMBH HOSPITAL RODI" Uttarakhand Haridwar Free
11-05-2021 45 50 246763 "PHC Laldhang" Uttarakhand Haridwar Free
11-05-2021 45 50 249410 "Kumbh Adhaar Base Hospital" Uttarakhand Haridwar Free
11-05-2021 45 50 249401 "UPHC Bhopatwala" Uttarakhand Haridwar Free
11-05-2021 45 50 247663 "Sikenderpur Sc" Uttarakhand Haridwar Free
11-05-2021 45 50 249403 "UPHC RAMDHAM" Uttarakhand Haridwar Free
11-05-2021 45 50 249401 "UPHC TIBDI" Uttarakhand Haridwar Free
11-05-2021 45 50 249402 "PHC Kotamurad Nagar" Uttarakhand Haridwar Free
12-05-2021 45 50 249407 "UPHC Kankhal" Uttarakhand Haridwar Free
12-05-2021 45 50 246763 "PHC Laldhang" Uttarakhand Haridwar Free
12-05-2021 45 50 249410 "Kumbh Adhaar Base Hospital" Uttarakhand Haridwar Free
12-05-2021 45 50 249401 "UPHC Bhopatwala" Uttarakhand Haridwar Free
12-05-2021 45 50 249403 "UPHC RAMDHAM" Uttarakhand Haridwar Free
12-05-2021 45 50 249401 "UPHC TIBDI" Uttarakhand Haridwar Free
12-05-2021 45 50 249404 "Pherupur PHC" Uttarakhand Haridwar Free
12-05-2021 45 50 247663 "Pralhadpur Sc" Uttarakhand Haridwar Free
13-05-2021 45 50 246763 "PHC Laldhang" Uttarakhand Haridwar Free
13-05-2021 45 50 247663 "Chandpuri Kala Sc" Uttarakhand Haridwar Free
13-05-2021 45 50 249401 "UPHC TIBDI" Uttarakhand Haridwar Free
13-05-2021 45 50 249404 "Pherupur PHC" Uttarakhand Haridwar Free
13-05-2021 45 50 249402 "PHC Kotamurad Nagar" Uttarakhand Haridwar Free
13-05-2021 45 50 247663 "Pralhadpur Sc" Uttarakhand Haridwar Free
14-05-2021 45 50 249403 "UPHC RAMDHAM" Uttarakhand Haridwar Free
14-05-2021 45 50 247663 "Karanpur Sc" Uttarakhand Haridwar Free
14-05-2021 45 50 249404 "Pherupur PHC" Uttarakhand Haridwar Free
14-05-2021 45 50 249402 "PHC Kotamurad Nagar" Uttarakhand Haridwar Free
08-05-2021 45 49 247667 Todakalyanpur Uttarakhand Haridwar Free
09-05-2021 45 49 247663 "Chandpuri Kala Sc" Uttarakhand Haridwar Free
09-05-2021 45 49 247663 "Karanpur Sc" Uttarakhand Haridwar Free
09-05-2021 45 49 247667 "Phc Nanheda" Uttarakhand Haridwar Free
09-05-2021 45 49 247667 Kishnanpur Uttarakhand Haridwar Free
09-05-2021 45 49 247667 "Sc Bhori" Uttarakhand Haridwar Free
11-05-2021 45 49 247663 "Pralhadpur Sc" Uttarakhand Haridwar Free
12-05-2021 45 49 247663 "Chandpuri Kala Sc" Uttarakhand Haridwar Free
12-05-2021 45 49 247663 "Sikenderpur Sc" Uttarakhand Haridwar Free
12-05-2021 45 49 249402 "PHC Kotamurad Nagar" Uttarakhand Haridwar Free
13-05-2021 45 49 249403 "UPHC RAMDHAM" Uttarakhand Haridwar Free
13-05-2021 45 49 247663 "Karanpur Sc" Uttarakhand Haridwar Free
14-05-2021 45 49 247663 "Chandpuri Kala Sc" Uttarakhand Haridwar Free
08-05-2021 45 48 247663 "Khanpur CHC" Uttarakhand Haridwar Free
08-05-2021 45 48 249407 "JWALAPUR CHC" Uttarakhand Haridwar Free
08-05-2021 45 48 246763 "PHC Laldhang" Uttarakhand Haridwar Free
09-05-2021 45 48 247667 Todakalyanpur Uttarakhand Haridwar Free
09-05-2021 45 48 247667 "SC Saliyer" Uttarakhand Haridwar Free
09-05-2021 45 48 247667 "SC Tanshipur" Uttarakhand Haridwar Free
10-05-2021 45 48 246763 "PHC Laldhang" Uttarakhand Haridwar Free
10-05-2021 45 48 249401 "UPHC Bhopatwala" Uttarakhand Haridwar Free
10-05-2021 45 48 249401 "UPHC TIBDI" Uttarakhand Haridwar Free
11-05-2021 45 48 249404 "Pherupur PHC" Uttarakhand Haridwar Free
12-05-2021 45 48 249401 "KUMBH HOSPITAL RODI" Uttarakhand Haridwar Free
14-05-2021 45 48 249401 "UPHC TIBDI" Uttarakhand Haridwar Free
08-05-2021 45 47 247663 "Chandpuri Kala Sc" Uttarakhand Haridwar Free
09-05-2021 45 47 247667 "SC Latherdeva Sakh" Uttarakhand Haridwar Free
09-05-2021 45 47 249404 "Pherupur PHC" Uttarakhand Haridwar Free
09-05-2021 45 47 249402 "PHC Kotamurad Nagar" Uttarakhand Haridwar Free
14-05-2021 45 47 246763 "PHC Laldhang" Uttarakhand Haridwar Free
09-05-2021 45 46 247667 "SC Bahngedi" Uttarakhand Haridwar Free
10-05-2021 45 46 249403 "UPHC RAMDHAM" Uttarakhand Haridwar Free
10-05-2021 45 46 249402 "PHC Kotamurad Nagar" Uttarakhand Haridwar Free
10-05-2021 45 45 249404 "Pherupur PHC" Uttarakhand Haridwar Free
09-05-2021 45 44 249401 "Rishikul Ayurved College 1" Uttarakhand Haridwar Free
09-05-2021 45 43 246763 "PHC Laldhang" Uttarakhand Haridwar Free
08-05-2021 45 42 247667 "Combined Hospital Roorkee" Uttarakhand Haridwar Free
13-05-2021 45 42 249407 "CHC Jwalapur" Uttarakhand Haridwar Free
11-05-2021 45 41 249401 "Prem Nagar Ashram Haridwar" Uttarakhand Haridwar Free
14-05-2021 45 39 249407 "CHC Jwalapur" Uttarakhand Haridwar Free
12-05-2021 45 38 249407 "CHC Jwalapur" Uttarakhand Haridwar Free
09-05-2021 45 26 247667 "UPHC PURANI TEHSHIL" Uttarakhand Haridwar Free
11-05-2021 45 24 249407 "CHC Jwalapur" Uttarakhand Haridwar Free
09-05-2021 45 18 247667 "Combined Hospital Roorkee" Uttarakhand Haridwar Free
09-05-2021 45 6 247667 "UPHC CHANDRAPURI" Uttarakhand Haridwar Free
09-05-2021 45 5 247667 "Adarshnagar UPHC" Uttarakhand Haridwar Free
10-05-2021 45 4 249407 "CHC Jwalapur" Uttarakhand Haridwar Free
09-05-2021 45 1 249401 "Rishikul Ayurvedic College" Uttarakhand Haridwar Free
10-05-2021 45 1 249401 "Prem Nagar Ashram Haridwar" Uttarakhand Haridwar Free
