date min_age_limit available_capacity pincode name state_name district_name fee_type
14-05-2021 45 50 825323 "Panchayat Bhawan MANAIYA" Jharkhand Hazaribagh Free
14-05-2021 45 50 825312 "Bishnugarh CHC (FLW)" Jharkhand Hazaribagh Free
14-05-2021 45 50 825323 "Panchayat Bhawan KAPKA" Jharkhand Hazaribagh Free
14-05-2021 45 50 825311 "MAHUGAINKALA PANCHAYAT BHAWAN" Jharkhand Hazaribagh Free
14-05-2021 45 50 825323 "Panchayat Bhawan CHOUBE" Jharkhand Hazaribagh Free
15-05-2021 45 50 825311 "GARRI KALAN" Jharkhand Hazaribagh Free
16-05-2021 45 50 825311 "GARRI KALAN" Jharkhand Hazaribagh Free
18-05-2021 45 50 825311 "GARRI KALAN" Jharkhand Hazaribagh Free
20-05-2021 45 50 825311 "GARRI KALAN" Jharkhand Hazaribagh Free
15-05-2021 45 49 825311 "CHC Keredari" Jharkhand Hazaribagh Free
17-05-2021 45 49 825311 "GARRI KALAN" Jharkhand Hazaribagh Free
19-05-2021 45 49 825311 "GARRI KALAN" Jharkhand Hazaribagh Free
14-05-2021 45 48 825311 "CHC Keredari" Jharkhand Hazaribagh Free
14-05-2021 45 48 825311 "GARRI KALAN" Jharkhand Hazaribagh Free
16-05-2021 45 48 825311 "CHC Keredari" Jharkhand Hazaribagh Free
17-05-2021 45 48 825311 "CHC Keredari" Jharkhand Hazaribagh Free
14-05-2021 45 47 825311 "Barkagaon CHC" Jharkhand Hazaribagh Free
14-05-2021 45 47 825323 "Panchayat Bhawan GAIPAHARI" Jharkhand Hazaribagh Free
14-05-2021 45 45 825323 "PANCHAYAT BHAWAN BELKAPPI" Jharkhand Hazaribagh Free
14-05-2021 45 44 825323 "Panchayat Bhawan SUDAN" Jharkhand Hazaribagh Free
14-05-2021 45 39 825301 "UPHC KHIRGAON NUHM 01" Jharkhand Hazaribagh Free
18-05-2021 45 39 825406 "AWC SIYARKONI" Jharkhand Hazaribagh Free
15-05-2021 45 38 825323 "Panchayat Bhawan JHURJHURI" Jharkhand Hazaribagh Free
16-05-2021 45 36 825402 "Ichak CHC FLW" Jharkhand Hazaribagh Free
14-05-2021 45 31 825301 "UPHC KHIRGAON NUHM 02" Jharkhand Hazaribagh Free
14-05-2021 45 30 825301 "UPHC Kadma" Jharkhand Hazaribagh Free
14-05-2021 45 30 825301 "UPHC Mandaikala" Jharkhand Hazaribagh Free
14-05-2021 45 27 825301 "NUHM SADAR CAMPUS 02" Jharkhand Hazaribagh Free
14-05-2021 45 18 825301 "HSC Chandwar" Jharkhand Hazaribagh Free
14-05-2021 45 17 825301 "PHC Daru" Jharkhand Hazaribagh Free
14-05-2021 45 12 825301 "NUHM SADAR CAMPUS 01" Jharkhand Hazaribagh Free
14-05-2021 45 12 825317 "Panchayat Bhavan Meru" Jharkhand Hazaribagh Free
14-05-2021 45 10 825312 "Panchayat Bhawan Sirey" Jharkhand Hazaribagh Free
14-05-2021 45 10 825311 "Barkagaon CHC" Jharkhand Hazaribagh Free
14-05-2021 45 10 829108 "AKC GIDDI A" Jharkhand Hazaribagh Free
15-05-2021 45 10 825323 "Panchayat Bhawan BEROKALA" Jharkhand Hazaribagh Free
15-05-2021 45 10 825323 "Panchayat Bhawan KHARGU" Jharkhand Hazaribagh Free
15-05-2021 45 10 825323 "Panchayat Bhawan ALAGDIHA" Jharkhand Hazaribagh Free
15-05-2021 45 10 825323 "Panchayat Bhawan GANGPACHO" Jharkhand Hazaribagh Free
16-05-2021 45 10 829108 "AKC GIDDI A" Jharkhand Hazaribagh Free
17-05-2021 45 10 829108 "AKC GIDDI A" Jharkhand Hazaribagh Free
18-05-2021 45 10 829108 "AKC GIDDI A" Jharkhand Hazaribagh Free
19-05-2021 45 10 825402 "Ichak CHC FLW" Jharkhand Hazaribagh Free
14-05-2021 45 9 825406 "KARMA PANCHAYAT BHAWAN" Jharkhand Hazaribagh Free
18-05-2021 45 9 825402 "Ichak CHC FLW" Jharkhand Hazaribagh Free
14-05-2021 45 8 825336 "PHC Charhi" Jharkhand Hazaribagh Free
14-05-2021 45 8 825405 "BARHI SDH 2ND SESSION" Jharkhand Hazaribagh Free
15-05-2021 45 8 825402 "Ichak CHC FLW" Jharkhand Hazaribagh Free
17-05-2021 45 8 825402 "Ichak CHC FLW" Jharkhand Hazaribagh Free
17-05-2021 45 8 825402 "Ichak CHC" Jharkhand Hazaribagh Free
19-05-2021 45 8 825402 "Ichak CHC" Jharkhand Hazaribagh Free
20-05-2021 45 8 825402 "Ichak CHC" Jharkhand Hazaribagh Free
14-05-2021 45 6 825402 "Ichak CHC" Jharkhand Hazaribagh Free
18-05-2021 45 6 825402 "Ichak CHC" Jharkhand Hazaribagh Free
20-05-2021 45 6 825402 "Ichak CHC FLW" Jharkhand Hazaribagh Free
14-05-2021 45 5 825313 "PHC Tatijhariya" Jharkhand Hazaribagh Free
15-05-2021 45 5 825402 "Ichak CHC" Jharkhand Hazaribagh Free
16-05-2021 45 5 825402 "Ichak CHC" Jharkhand Hazaribagh Free
14-05-2021 45 4 825402 "Ichak CHC FLW" Jharkhand Hazaribagh Free
14-05-2021 45 4 825406 "Chauparan Covishield" Jharkhand Hazaribagh Free
14-05-2021 45 3 825312 "CHC Bishnugarh 1" Jharkhand Hazaribagh Free
14-05-2021 45 2 825301 "P B Sindur" Jharkhand Hazaribagh Free
15-05-2021 45 2 829108 "AKC GIDDI A" Jharkhand Hazaribagh Free
