date min_age_limit available_capacity pincode name state_name district_name fee_type
14-05-2021 45 50 495445 "PHC Morga" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "PHC Bhaisma (KORBA RURAL)" Chhattisgarh Korba Free
14-05-2021 45 50 495446 TiwartaHWC Chhattisgarh Korba Free
14-05-2021 45 50 495445 "PHC Katori Nagoy" Chhattisgarh Korba Free
14-05-2021 45 50 495445 "HWC Jalke" Chhattisgarh Korba Free
14-05-2021 45 50 495449 "CHC Pali" Chhattisgarh Korba Free
14-05-2021 45 50 495684 "Gadauproda HWC" Chhattisgarh Korba Free
14-05-2021 45 50 495450 "PHC Chhuri" Chhattisgarh Korba Free
14-05-2021 45 50 495449 "Manikpur PALI HWC" Chhattisgarh Korba Free
14-05-2021 45 50 495449 "SHC Silli" Chhattisgarh Korba Free
14-05-2021 45 50 495448 "PHC Korbi" Chhattisgarh Korba Free
14-05-2021 45 50 495452 "PHC Pasan" Chhattisgarh Korba Free
14-05-2021 45 50 495445 "Katghora Covaxin" Chhattisgarh Korba Free
14-05-2021 45 50 495445 "PHC Machadoli" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "PHC Chiknipali" Chhattisgarh Korba Free
14-05-2021 45 50 495445 "SHC JURALI" Chhattisgarh Korba Free
14-05-2021 45 50 495450 "UPHC Gopalpur" Chhattisgarh Korba Free
14-05-2021 45 50 495445 "SHC RAWA" Chhattisgarh Korba Free
14-05-2021 45 50 495445 "PHC Sirmina" Chhattisgarh Korba Free
14-05-2021 45 50 495446 "COVAXIN HARDIBAZAR" Chhattisgarh Korba Free
14-05-2021 45 50 495445 "PHC Chakabuda" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "S H C SUKHRIKALA" Chhattisgarh Korba Free
14-05-2021 45 50 495684 "HWC Dondaro (KORBA RURAL)" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "S H C PURENA" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "CHC Patadhi Covaxin (KORBA RU)" Chhattisgarh Korba Free
14-05-2021 45 50 495677 "SHC Rampur Korba" Chhattisgarh Korba Free
14-05-2021 45 50 495119 "PHC Pipariya" Chhattisgarh Korba Free
14-05-2021 45 50 495446 "NONBIRRA SHC" Chhattisgarh Korba Free
14-05-2021 45 50 495445 "PHC Jatga" Chhattisgarh Korba Free
14-05-2021 45 50 495449 "Rajkamma SHC" Chhattisgarh Korba Free
14-05-2021 45 50 495677 "SECL Hospital Mudapar" Chhattisgarh Korba Free
14-05-2021 45 50 495449 "Iruf HWC" Chhattisgarh Korba Free
14-05-2021 45 50 495684 "PHC Ajagarbahar (Korba Rural)" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "S H C PATHIYAPALI" Chhattisgarh Korba Free
14-05-2021 45 50 495684 "PHC Korkoma (KORBA RURAL)" Chhattisgarh Korba Free
14-05-2021 45 50 495677 "PHC Korba" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "HWC Chirra (KORBA RURAL)" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "CHC PATADHI (KORBA RURAL)" Chhattisgarh Korba Free
14-05-2021 45 50 495447 "SECL Hospital Bankimogra" Chhattisgarh Korba Free
14-05-2021 45 50 495446 "Nunera HWC" Chhattisgarh Korba Free
14-05-2021 45 50 495450 "CSEB WEST HOSPITAL" Chhattisgarh Korba Free
14-05-2021 45 50 495449 "PHC Chaitma" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "UrgaHWC (KORBA RURAL)" Chhattisgarh Korba Free
14-05-2021 45 50 495445 "HWC Binjhra" Chhattisgarh Korba Free
14-05-2021 45 50 495449 "PHC LAFA" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "PHC Kharwani" Chhattisgarh Korba Free
14-05-2021 45 50 495119 "HWC Podikala" Chhattisgarh Korba Free
14-05-2021 45 50 495677 "Korba DH Covaxin" Chhattisgarh Korba Free
14-05-2021 45 50 495449 "Banbandha HWC" Chhattisgarh Korba Free
14-05-2021 45 50 495446 "KKORBI PHC" Chhattisgarh Korba Free
14-05-2021 45 50 495445 "PHC Mahora" Chhattisgarh Korba Free
14-05-2021 45 50 495454 "SECL Vikashnagar Dispensary" Chhattisgarh Korba Free
14-05-2021 45 50 495450 "Hospital NTPC" Chhattisgarh Korba Free
14-05-2021 45 50 495445 "Civil Dispensary SECL Balgi" Chhattisgarh Korba Free
14-05-2021 45 50 495683 "HWC Madanpur ( KORBA RURAL)" Chhattisgarh Korba Free
14-05-2021 45 50 495445 "CHC Katghora COVISHEILD" Chhattisgarh Korba Free
14-05-2021 45 50 495445 "CHC Podi Uproda" Chhattisgarh Korba Free
14-05-2021 45 50 495684 "PHC Lemru" Chhattisgarh Korba Free
14-05-2021 45 50 495684 "Arsena HWC" Chhattisgarh Korba Free
14-05-2021 45 50 495446 "Bandhakhar PALI" Chhattisgarh Korba Free
14-05-2021 45 50 495454 "PHC Bhilaibazar" Chhattisgarh Korba Free
14-05-2021 45 50 495445 "PHC Tuman" Chhattisgarh Korba Free
14-05-2021 45 50 495445 "Podiuproda Covaxin" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "SHC Fatehganj" Chhattisgarh Korba Free
14-05-2021 45 50 495445 "SHC SARBHOKA" Chhattisgarh Korba Free
14-05-2021 45 50 495449 "Podi HWC" Chhattisgarh Korba Free
14-05-2021 45 50 495449 "Pali CHC Covaxin" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "S H C BARPALI" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "Kudurmal HWC (KORBA RURAL)" Chhattisgarh Korba Free
14-05-2021 45 50 495445 "SHC KENDAI" Chhattisgarh Korba Free
14-05-2021 45 50 495677 "SHC Dadar Khurd" Chhattisgarh Korba Free
14-05-2021 45 50 495454 "SECL Dispensary Adarsh Nagar" Chhattisgarh Korba Free
14-05-2021 45 50 495445 "HWC Senha" Chhattisgarh Korba Free
14-05-2021 45 50 495446 "PHC Hardibazar" Chhattisgarh Korba Free
14-05-2021 45 50 495677 "Main CSPGCL Hospital" Chhattisgarh Korba Free
14-05-2021 45 50 495677 "SHC Neharunagar" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "PHC Tilkeja (KORBA RURAL)" Chhattisgarh Korba Free
14-05-2021 45 50 495445 "HWC Madai" Chhattisgarh Korba Free
14-05-2021 45 50 495450 "SHC Sichai Colony" Chhattisgarh Korba Free
14-05-2021 45 50 495684 "SSK Bhadrapara Daihanpara" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "PHC Saragbundiya" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "Umreli SHC" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "Godhi HWC (KORBA RURAL)" Chhattisgarh Korba Free
14-05-2021 45 50 495447 "SHC Sumedha" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "PHC Shyang (Korba Rural)" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "Pharswani PHC" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "HWC BARPALI (Korba Rural)" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "KERAKACHHAR PHC" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "H W C Jarve" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "PHC Kudmura (KORBA RURAL)" Chhattisgarh Korba Free
14-05-2021 45 50 495445 "HWC Lainga" Chhattisgarh Korba Free
14-05-2021 45 50 495683 "HWC Shantinagar (KORBA RURAL)" Chhattisgarh Korba Free
14-05-2021 45 50 495445 "HWC Sutara" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "PHC Rampur" Chhattisgarh Korba Free
14-05-2021 45 50 495682 "Railway Hospital Sitamani" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "PHC Kothari" Chhattisgarh Korba Free
14-05-2021 45 50 495674 "HWC Basin (KORBA RURAL)" Chhattisgarh Korba Free
15-05-2021 45 50 495449 "CHC Dipka" Chhattisgarh Korba Free
15-05-2021 45 50 495445 "PHC Katori Nagoy" Chhattisgarh Korba Free
15-05-2021 45 50 495449 "CHC Pali" Chhattisgarh Korba Free
15-05-2021 45 50 495684 "Gadauproda HWC" Chhattisgarh Korba Free
15-05-2021 45 50 495448 "PHC Korbi" Chhattisgarh Korba Free
15-05-2021 45 50 495452 "PHC Pasan" Chhattisgarh Korba Free
15-05-2021 45 50 495445 "Katghora Covaxin" Chhattisgarh Korba Free
15-05-2021 45 50 495445 "PHC Machadoli" Chhattisgarh Korba Free
15-05-2021 45 50 495445 "PHC Sirmina" Chhattisgarh Korba Free
15-05-2021 45 50 495445 "PHC Chakabuda" Chhattisgarh Korba Free
15-05-2021 45 50 495684 "HWC Dondaro (KORBA RURAL)" Chhattisgarh Korba Free
15-05-2021 45 50 495674 "CHC Patadhi Covaxin (KORBA RU)" Chhattisgarh Korba Free
15-05-2021 45 50 495445 "PHC Jatga" Chhattisgarh Korba Free
15-05-2021 45 50 495684 "PHC Ajagarbahar (Korba Rural)" Chhattisgarh Korba Free
15-05-2021 45 50 495684 "PHC Korkoma (KORBA RURAL)" Chhattisgarh Korba Free
15-05-2021 45 50 495674 "CHC PATADHI (KORBA RURAL)" Chhattisgarh Korba Free
15-05-2021 45 50 495674 "UrgaHWC (KORBA RURAL)" Chhattisgarh Korba Free
15-05-2021 45 50 495445 "PHC Mahora" Chhattisgarh Korba Free
15-05-2021 45 50 495683 "HWC Madanpur ( KORBA RURAL)" Chhattisgarh Korba Free
15-05-2021 45 50 495445 "CHC Katghora COVISHEILD" Chhattisgarh Korba Free
15-05-2021 45 50 495445 "CHC Podi Uproda" Chhattisgarh Korba Free
15-05-2021 45 50 495684 "PHC Lemru" Chhattisgarh Korba Free
15-05-2021 45 50 495684 "Arsena HWC" Chhattisgarh Korba Free
15-05-2021 45 50 495454 "PHC Bhilaibazar" Chhattisgarh Korba Free
15-05-2021 45 50 495445 "PHC Tuman" Chhattisgarh Korba Free
15-05-2021 45 50 495445 "Podiuproda Covaxin" Chhattisgarh Korba Free
15-05-2021 45 50 495674 "Kudurmal HWC (KORBA RURAL)" Chhattisgarh Korba Free
15-05-2021 45 50 495674 "PHC Tilkeja (KORBA RURAL)" Chhattisgarh Korba Free
15-05-2021 45 50 495674 "Godhi HWC (KORBA RURAL)" Chhattisgarh Korba Free
15-05-2021 45 50 495674 "PHC Shyang (Korba Rural)" Chhattisgarh Korba Free
15-05-2021 45 50 495674 "HWC BARPALI (Korba Rural)" Chhattisgarh Korba Free
15-05-2021 45 50 495674 "PHC Kudmura (KORBA RURAL)" Chhattisgarh Korba Free
15-05-2021 45 50 495683 "HWC Shantinagar (KORBA RURAL)" Chhattisgarh Korba Free
15-05-2021 45 50 495452 "Mudhali SHC" Chhattisgarh Korba Free
15-05-2021 45 50 495446 "Boida HWC" Chhattisgarh Korba Free
16-05-2021 45 50 495684 "Gadauproda HWC" Chhattisgarh Korba Free
16-05-2021 45 50 495445 "Katghora Covaxin" Chhattisgarh Korba Free
16-05-2021 45 50 495684 "HWC Dondaro (KORBA RURAL)" Chhattisgarh Korba Free
16-05-2021 45 50 495674 "CHC Patadhi Covaxin (KORBA RU)" Chhattisgarh Korba Free
16-05-2021 45 50 495684 "PHC Ajagarbahar (Korba Rural)" Chhattisgarh Korba Free
16-05-2021 45 50 495684 "PHC Korkoma (KORBA RURAL)" Chhattisgarh Korba Free
16-05-2021 45 50 495674 "HWC Chirra (KORBA RURAL)" Chhattisgarh Korba Free
16-05-2021 45 50 495674 "CHC PATADHI (KORBA RURAL)" Chhattisgarh Korba Free
16-05-2021 45 50 495674 "UrgaHWC (KORBA RURAL)" Chhattisgarh Korba Free
16-05-2021 45 50 495683 "HWC Madanpur ( KORBA RURAL)" Chhattisgarh Korba Free
16-05-2021 45 50 495684 "PHC Lemru" Chhattisgarh Korba Free
16-05-2021 45 50 495684 "Arsena HWC" Chhattisgarh Korba Free
16-05-2021 45 50 495674 "Kudurmal HWC (KORBA RURAL)" Chhattisgarh Korba Free
16-05-2021 45 50 495674 "PHC Tilkeja (KORBA RURAL)" Chhattisgarh Korba Free
16-05-2021 45 50 495674 "Godhi HWC (KORBA RURAL)" Chhattisgarh Korba Free
16-05-2021 45 50 495674 "PHC Shyang (Korba Rural)" Chhattisgarh Korba Free
16-05-2021 45 50 495674 "HWC BARPALI (Korba Rural)" Chhattisgarh Korba Free
16-05-2021 45 50 495674 "PHC Kudmura (KORBA RURAL)" Chhattisgarh Korba Free
16-05-2021 45 50 495683 "HWC Shantinagar (KORBA RURAL)" Chhattisgarh Korba Free
16-05-2021 45 50 495674 "HWC Basin (KORBA RURAL)" Chhattisgarh Korba Free
16-05-2021 45 50 495452 "Mudhali SHC" Chhattisgarh Korba Free
17-05-2021 45 50 495684 "Gadauproda HWC" Chhattisgarh Korba Free
17-05-2021 45 50 495445 "Katghora Covaxin" Chhattisgarh Korba Free
17-05-2021 45 50 495452 "NCH Dipka" Chhattisgarh Korba Free
17-05-2021 45 50 495674 "CHC Patadhi Covaxin (KORBA RU)" Chhattisgarh Korba Free
17-05-2021 45 50 495684 "PHC Ajagarbahar (Korba Rural)" Chhattisgarh Korba Free
17-05-2021 45 50 495684 "PHC Korkoma (KORBA RURAL)" Chhattisgarh Korba Free
17-05-2021 45 50 495674 "HWC Chirra (KORBA RURAL)" Chhattisgarh Korba Free
17-05-2021 45 50 495674 "CHC PATADHI (KORBA RURAL)" Chhattisgarh Korba Free
17-05-2021 45 50 495674 "UrgaHWC (KORBA RURAL)" Chhattisgarh Korba Free
17-05-2021 45 50 495683 "HWC Madanpur ( KORBA RURAL)" Chhattisgarh Korba Free
17-05-2021 45 50 495684 "PHC Lemru" Chhattisgarh Korba Free
17-05-2021 45 50 495684 "Arsena HWC" Chhattisgarh Korba Free
17-05-2021 45 50 495674 "Kudurmal HWC (KORBA RURAL)" Chhattisgarh Korba Free
17-05-2021 45 50 495674 "PHC Tilkeja (KORBA RURAL)" Chhattisgarh Korba Free
17-05-2021 45 50 495674 "Godhi HWC (KORBA RURAL)" Chhattisgarh Korba Free
17-05-2021 45 50 495674 "PHC Shyang (Korba Rural)" Chhattisgarh Korba Free
17-05-2021 45 50 495674 "HWC BARPALI (Korba Rural)" Chhattisgarh Korba Free
17-05-2021 45 50 495674 "PHC Kudmura (KORBA RURAL)" Chhattisgarh Korba Free
17-05-2021 45 50 495674 "HWC Basin (KORBA RURAL)" Chhattisgarh Korba Free
17-05-2021 45 50 495452 "Mudhali SHC" Chhattisgarh Korba Free
18-05-2021 45 50 495674 "PHC Bhaisma (KORBA RURAL)" Chhattisgarh Korba Free
18-05-2021 45 50 495684 "Gadauproda HWC" Chhattisgarh Korba Free
18-05-2021 45 50 495684 "HWC Dondaro (KORBA RURAL)" Chhattisgarh Korba Free
18-05-2021 45 50 495674 "CHC Patadhi Covaxin (KORBA RU)" Chhattisgarh Korba Free
18-05-2021 45 50 495684 "PHC Ajagarbahar (Korba Rural)" Chhattisgarh Korba Free
18-05-2021 45 50 495684 "PHC Korkoma (KORBA RURAL)" Chhattisgarh Korba Free
18-05-2021 45 50 495674 "HWC Chirra (KORBA RURAL)" Chhattisgarh Korba Free
18-05-2021 45 50 495674 "UrgaHWC (KORBA RURAL)" Chhattisgarh Korba Free
18-05-2021 45 50 495683 "HWC Madanpur ( KORBA RURAL)" Chhattisgarh Korba Free
18-05-2021 45 50 495684 "PHC Lemru" Chhattisgarh Korba Free
18-05-2021 45 50 495684 "Arsena HWC" Chhattisgarh Korba Free
18-05-2021 45 50 495674 "Kudurmal HWC (KORBA RURAL)" Chhattisgarh Korba Free
18-05-2021 45 50 495674 "PHC Tilkeja (KORBA RURAL)" Chhattisgarh Korba Free
18-05-2021 45 50 495674 "Godhi HWC (KORBA RURAL)" Chhattisgarh Korba Free
18-05-2021 45 50 495674 "PHC Shyang (Korba Rural)" Chhattisgarh Korba Free
18-05-2021 45 50 495674 "HWC BARPALI (Korba Rural)" Chhattisgarh Korba Free
18-05-2021 45 50 495674 "PHC Kudmura (KORBA RURAL)" Chhattisgarh Korba Free
18-05-2021 45 50 495683 "HWC Shantinagar (KORBA RURAL)" Chhattisgarh Korba Free
18-05-2021 45 50 495674 "HWC Basin (KORBA RURAL)" Chhattisgarh Korba Free
18-05-2021 45 50 495452 "Mudhali SHC" Chhattisgarh Korba Free
19-05-2021 45 50 495674 "PHC Bhaisma (KORBA RURAL)" Chhattisgarh Korba Free
19-05-2021 45 50 495684 "Gadauproda HWC" Chhattisgarh Korba Free
19-05-2021 45 50 495445 "Katghora Covaxin" Chhattisgarh Korba Free
19-05-2021 45 50 495684 "HWC Dondaro (KORBA RURAL)" Chhattisgarh Korba Free
19-05-2021 45 50 495674 "CHC Patadhi Covaxin (KORBA RU)" Chhattisgarh Korba Free
19-05-2021 45 50 495684 "PHC Ajagarbahar (Korba Rural)" Chhattisgarh Korba Free
19-05-2021 45 50 495684 "PHC Korkoma (KORBA RURAL)" Chhattisgarh Korba Free
19-05-2021 45 50 495674 "HWC Chirra (KORBA RURAL)" Chhattisgarh Korba Free
19-05-2021 45 50 495674 "CHC PATADHI (KORBA RURAL)" Chhattisgarh Korba Free
19-05-2021 45 50 495674 "UrgaHWC (KORBA RURAL)" Chhattisgarh Korba Free
