date min_age_limit available_capacity pincode name state_name district_name fee_type
14-05-2021 45 100 497442 "HWC KATHOTIYA" Chhattisgarh Koriya Free
14-05-2021 45 100 497442 "PHC BELBAHRA" Chhattisgarh Koriya Free
14-05-2021 45 100 497442 "Nagpur Primary Health Center" Chhattisgarh Koriya Free
14-05-2021 45 100 497442 "CHC MANENDRAGARH A" Chhattisgarh Koriya Free
14-05-2021 45 100 497442 "PHC BANJI" Chhattisgarh Koriya Free
14-05-2021 45 100 497442 "PHC KELHARI" Chhattisgarh Koriya Free
14-05-2021 45 100 497442 "PHC KHONGAPANI" Chhattisgarh Koriya Free
14-05-2021 45 100 497442 "SHC UJIYARPUR" Chhattisgarh Koriya Free
14-05-2021 45 98 497442 "Central Hospital Manendragarh" Chhattisgarh Koriya Free
14-05-2021 45 50 497449 "Salka Primary Health Center" Chhattisgarh Koriya Free
18-05-2021 45 50 497335 "SHC Saraigahna" Chhattisgarh Koriya Free
19-05-2021 45 50 497553 "SECL Reginol Hospital" Chhattisgarh Koriya Free
