date min_age_limit available_capacity pincode name state_name district_name fee_type
11-05-2021 45 100 281504 "Raal CHC Ist" "Uttar Pradesh" Mathura Free
13-05-2021 45 100 281206 "Sonai CHC" "Uttar Pradesh" Mathura Free
13-05-2021 45 100 281202 "Mant CHC" "Uttar Pradesh" Mathura Free
13-05-2021 45 100 281504 "Raal CHC Ist" "Uttar Pradesh" Mathura Free
14-05-2021 45 100 281202 "Mant CHC" "Uttar Pradesh" Mathura Free
14-05-2021 45 100 281504 "Raal CHC Ist" "Uttar Pradesh" Mathura Free
14-05-2021 45 99 281206 "Sonai CHC" "Uttar Pradesh" Mathura Free
12-05-2021 45 98 281206 "Sonai CHC" "Uttar Pradesh" Mathura Free
12-05-2021 45 98 281202 "Mant CHC" "Uttar Pradesh" Mathura Free
12-05-2021 45 98 281504 "Raal CHC Ist" "Uttar Pradesh" Mathura Free
14-05-2021 45 98 281003 "Police Line Hospital 1st" "Uttar Pradesh" Mathura Free
11-05-2021 45 97 281202 "Mant CHC" "Uttar Pradesh" Mathura Free
13-05-2021 45 97 281403 "Kosi Kalan CHC" "Uttar Pradesh" Mathura Free
13-05-2021 45 97 281003 "Police Line Hospital 1st" "Uttar Pradesh" Mathura Free
14-05-2021 45 97 281121 "CHC Vrindavan" "Uttar Pradesh" Mathura Free
11-05-2021 45 96 281206 "Sonai CHC" "Uttar Pradesh" Mathura Free
10-05-2021 45 94 281504 "Raal CHC Ist" "Uttar Pradesh" Mathura Free
12-05-2021 45 94 281121 "CHC Vrindavan" "Uttar Pradesh" Mathura Free
08-05-2021 45 93 281001 "MDS District Hospital" "Uttar Pradesh" Mathura Free
11-05-2021 45 93 281003 "Police Line Hospital 1st" "Uttar Pradesh" Mathura Free
12-05-2021 45 93 281003 "Police Line Hospital 1st" "Uttar Pradesh" Mathura Free
14-05-2021 45 93 281403 "Kosi Kalan CHC" "Uttar Pradesh" Mathura Free
10-05-2021 45 92 281122 "Farah CHC" "Uttar Pradesh" Mathura Free
13-05-2021 45 91 281001 "MDS District Hospital" "Uttar Pradesh" Mathura Free
13-05-2021 45 91 281121 "CHC Vrindavan" "Uttar Pradesh" Mathura Free
11-05-2021 45 90 281121 "CHC Vrindavan" "Uttar Pradesh" Mathura Free
10-05-2021 45 89 281202 "Mant CHC" "Uttar Pradesh" Mathura Free
11-05-2021 45 88 281403 "Kosi Kalan CHC" "Uttar Pradesh" Mathura Free
14-05-2021 45 87 281001 "MDS District Hospital" "Uttar Pradesh" Mathura Free
08-05-2021 45 86 281301 "Baldeo CHC" "Uttar Pradesh" Mathura Free
12-05-2021 45 86 281001 "MDS District Hospital" "Uttar Pradesh" Mathura Free
12-05-2021 45 86 281403 "Kosi Kalan CHC" "Uttar Pradesh" Mathura Free
10-05-2021 45 84 281206 "Sonai CHC" "Uttar Pradesh" Mathura Free
13-05-2021 45 84 281004 "UPHC Radhe Shyam Colony" "Uttar Pradesh" Mathura Free
14-05-2021 45 83 281004 "UPHC Radhe Shyam Colony" "Uttar Pradesh" Mathura Free
11-05-2021 45 82 281004 "UPHC Radhe Shyam Colony" "Uttar Pradesh" Mathura Free
11-05-2021 45 82 281001 "UPHC Mahendra Nagar" "Uttar Pradesh" Mathura Free
08-05-2021 45 70 281202 "PHC Neemgaon Mant" "Uttar Pradesh" Mathura Free
08-05-2021 45 70 281302 "HWC Gokul Baldeo" "Uttar Pradesh" Mathura Free
08-05-2021 45 70 281122 "HWC Thirawali Farah" "Uttar Pradesh" Mathura Free
08-05-2021 45 70 281401 "PHC Paigaonv" "Uttar Pradesh" Mathura Free
08-05-2021 45 70 281122 "HWC Bhahai Farah" "Uttar Pradesh" Mathura Free
08-05-2021 45 70 281403 "PHC SANCHOLI" "Uttar Pradesh" Mathura Free
08-05-2021 45 70 281406 "PHC Pelkhu" "Uttar Pradesh" Mathura Free
08-05-2021 45 70 281403 "PHC Naugaon" "Uttar Pradesh" Mathura Free
08-05-2021 45 70 281202 "HWC Begampur Mant" "Uttar Pradesh" Mathura Free
08-05-2021 45 70 281001 "HWC Nagla Chandrabhan Farah" "Uttar Pradesh" Mathura Free
08-05-2021 45 70 281301 "HWC Jharotha Baldeo" "Uttar Pradesh" Mathura Free
08-05-2021 45 70 281202 "HWC Panigaon Mant" "Uttar Pradesh" Mathura Free
08-05-2021 45 70 281204 "HWC Nagla Siriya Sonai" "Uttar Pradesh" Mathura Free
08-05-2021 45 70 281406 "PHC Bharnakala Chaumuhan" "Uttar Pradesh" Mathura Free
08-05-2021 45 70 281502 "PHC Sonkh Dehat" "Uttar Pradesh" Mathura Free
09-05-2021 45 70 281122 "HWC Thirawali Farah" "Uttar Pradesh" Mathura Free
10-05-2021 45 70 281122 "HWC Thirawali Farah" "Uttar Pradesh" Mathura Free
10-05-2021 45 70 281121 "CHC Vrindavan" "Uttar Pradesh" Mathura Free
