date min_age_limit available_capacity pincode name state_name district_name fee_type
14-05-2021 18 200 281121 "Vrindavan CHC 18to44 Only" "Uttar Pradesh" Mathura Free
13-05-2021 18 197 281203 "SURIR PHC 18to44 Only" "Uttar Pradesh" Mathura Free
14-05-2021 18 197 281203 "SURIR PHC 18to44 Only" "Uttar Pradesh" Mathura Free
15-05-2021 18 195 281203 "SURIR PHC 18to44 Only" "Uttar Pradesh" Mathura Free
13-05-2021 18 185 281406 "Chaumuha CHC 18to44 Only" "Uttar Pradesh" Mathura Free
11-05-2021 18 182 281203 "SURIR PHC 18to44 Only" "Uttar Pradesh" Mathura Free
12-05-2021 18 182 281203 "SURIR PHC 18to44 Only" "Uttar Pradesh" Mathura Free
14-05-2021 18 182 281406 "Chaumuha CHC 18to44 Only" "Uttar Pradesh" Mathura Free
15-05-2021 18 172 281406 "Chaumuha CHC 18to44 Only" "Uttar Pradesh" Mathura Free
14-05-2021 18 166 281001 "UPHC Laxmi Nager 18to44 Only" "Uttar Pradesh" Mathura Free
15-05-2021 18 155 281001 "UPHC Laxmi Nager 18to44 Only" "Uttar Pradesh" Mathura Free
13-05-2021 18 153 281001 "UPHC Laxmi Nager 18to44 Only" "Uttar Pradesh" Mathura Free
13-05-2021 18 146 281202 "Mant CHC 18to44 Only" "Uttar Pradesh" Mathura Free
12-05-2021 18 145 281202 "Mant CHC 18to44 Only" "Uttar Pradesh" Mathura Free
14-05-2021 18 143 281202 "Mant CHC 18to44 Only" "Uttar Pradesh" Mathura Free
15-05-2021 18 143 281202 "Mant CHC 18to44 Only" "Uttar Pradesh" Mathura Free
13-05-2021 18 142 281206 "Raya PHC 18to44 Only" "Uttar Pradesh" Mathura Free
12-05-2021 18 139 281406 "Chaumuha CHC 18to44 Only" "Uttar Pradesh" Mathura Free
13-05-2021 18 132 281003 "UPHC Heza Hospital 18to44 Only" "Uttar Pradesh" Mathura Free
15-05-2021 18 131 281206 "Raya PHC 18to44 Only" "Uttar Pradesh" Mathura Free
14-05-2021 18 123 281206 "Raya PHC 18to44 Only" "Uttar Pradesh" Mathura Free
11-05-2021 18 118 281202 "Mant CHC 18to44 Only" "Uttar Pradesh" Mathura Free
15-05-2021 18 112 281003 "UPHC Heza Hospital 18to44 Only" "Uttar Pradesh" Mathura Free
14-05-2021 18 110 281003 "UPHC Heza Hospital 18to44 Only" "Uttar Pradesh" Mathura Free
15-05-2021 18 87 281401 "Chhata CHC 18to44 Only" "Uttar Pradesh" Mathura Free
14-05-2021 18 85 281405 "Barsana CHC 18to44 Only" "Uttar Pradesh" Mathura Free
15-05-2021 18 84 281405 "Barsana CHC 18to44 Only" "Uttar Pradesh" Mathura Free
14-05-2021 18 81 281502 "Goverdhan CHC 18to44 Only" "Uttar Pradesh" Mathura Free
14-05-2021 18 81 281401 "Chhata CHC 18to44 Only" "Uttar Pradesh" Mathura Free
10-05-2021 18 80 281203 "SURIR PHC 18to44 Only" "Uttar Pradesh" Mathura Free
15-05-2021 18 68 281502 "Goverdhan CHC 18to44 Only" "Uttar Pradesh" Mathura Free
13-05-2021 18 57 281401 "Chhata CHC 18to44 Only" "Uttar Pradesh" Mathura Free
13-05-2021 18 52 281405 "Barsana CHC 18to44 Only" "Uttar Pradesh" Mathura Free
12-05-2021 18 35 281206 "Raya PHC 18to44 Only" "Uttar Pradesh" Mathura Free
10-05-2021 18 4 281202 "Mant CHC 18to44 Only" "Uttar Pradesh" Mathura Free
11-05-2021 18 3 281206 "Raya PHC 18to44 Only" "Uttar Pradesh" Mathura Free
