date min_age_limit available_capacity pincode name state_name district_name fee_type
10-05-2021 45 150 263139 "MBPG Degree College Haldwani 1" Uttarakhand Nainital Free
09-05-2021 45 149 263136 "Padampuri PHC" Uttarakhand Nainital Free
10-05-2021 45 149 263135 "Suyalbari CHC" Uttarakhand Nainital Free
10-05-2021 45 149 244715 "Peerumadara PHC" Uttarakhand Nainital Free
10-05-2021 45 149 244715 "Maldhan Chour PHC" Uttarakhand Nainital Free
10-05-2021 45 148 263136 "Padampuri PHC" Uttarakhand Nainital Free
10-05-2021 45 148 263137 "Ramgarh CHC ." Uttarakhand Nainital Free
10-05-2021 45 148 263139 "Chorgaliya PHC" Uttarakhand Nainital Free
09-05-2021 45 147 263134 "Betalghat CHC" Uttarakhand Nainital Free
10-05-2021 45 145 263140 "Bailparao PHC" Uttarakhand Nainital Free
10-05-2021 45 144 263135 "Garampani CHC" Uttarakhand Nainital Free
10-05-2021 45 144 263127 "Jeolikot Phc" Uttarakhand Nainital Free
09-05-2021 45 142 263140 "Bailparao PHC" Uttarakhand Nainital Free
10-05-2021 45 142 263134 "Betalghat CHC" Uttarakhand Nainital Free
10-05-2021 45 142 263139 "Daulat Pur PHC" Uttarakhand Nainital Free
10-05-2021 45 141 263132 "Bhowali CHC" Uttarakhand Nainital Free
10-05-2021 45 136 244715 "Kaniya PHC" Uttarakhand Nainital Free
10-05-2021 45 134 263159 "Kotabagh CHC" Uttarakhand Nainital Free
10-05-2021 45 132 244715 "Ramnagar PPC" Uttarakhand Nainital Free
10-05-2021 45 130 263001 "B D Pandey Female Hosp Ntl" Uttarakhand Nainital Free
09-05-2021 45 129 263132 "Bhowali CHC" Uttarakhand Nainital Free
10-05-2021 45 128 263136 "Bhimtal CHC" Uttarakhand Nainital Free
10-05-2021 45 128 244715 "Nagar Palika Ramnagar" Uttarakhand Nainital Free
09-05-2021 45 124 244715 "Kaniya PHC" Uttarakhand Nainital Free
10-05-2021 45 124 263139 "Government Medical College LT" Uttarakhand Nainital Free
10-05-2021 45 120 263140 "Kaladhungi CHC" Uttarakhand Nainital Free
10-05-2021 45 118 263139 "Polly Sheet Kathgodam" Uttarakhand Nainital Free
09-05-2021 45 100 263157 "Okhalkanda PHC" Uttarakhand Nainital Free
09-05-2021 45 100 263157 Chyurigard Uttarakhand Nainital Free
09-05-2021 45 100 263157 Patlot Uttarakhand Nainital Free
10-05-2021 45 100 263157 Chyurigard Uttarakhand Nainital Free
10-05-2021 45 100 263157 Patlot Uttarakhand Nainital Free
10-05-2021 45 100 263157 "Bheedapani SAD" Uttarakhand Nainital Free
10-05-2021 45 100 263136 "Babiyaar SC" Uttarakhand Nainital Free
10-05-2021 45 99 263157 "Okhalkanda PHC" Uttarakhand Nainital Free
10-05-2021 45 99 263158 "Nathuwakhan SC" Uttarakhand Nainital Free
10-05-2021 45 98 263132 "Paharpani SAD" Uttarakhand Nainital Free
10-05-2021 45 92 263001 "G B Pant Hospital" Uttarakhand Nainital Free
10-05-2021 45 87 263139 "Government Medical College PCI" Uttarakhand Nainital Free
10-05-2021 45 82 263126 "Ranibagh SAD" Uttarakhand Nainital Free
10-05-2021 45 79 263139 "Pandey Niwar PHC" Uttarakhand Nainital Free
10-05-2021 45 70 263139 "Motahaldu PHC" Uttarakhand Nainital Free
10-05-2021 45 63 263139 "Female Hospital Haldwani" Uttarakhand Nainital Free
10-05-2021 45 57 262402 "Lalkuan PHC" Uttarakhand Nainital Free
10-05-2021 45 46 263139 "Heart Care Centre" Uttarakhand Nainital Free
date min_age_limit available_capacity pincode name state_name district_name fee_type
