date min_age_limit available_capacity pincode name state_name district_name fee_type
14-05-2021 45 147 203135 "PHC JEWAR 45 YEARS" "Uttar Pradesh" "Gautam Buddha Nagar" Free
14-05-2021 45 130 203201 "PHC DANKAUR 45 YEARS" "Uttar Pradesh" "Gautam Buddha Nagar" Free
14-05-2021 45 82 201310 "G I M S" "Uttar Pradesh" "Gautam Buddha Nagar" Free
14-05-2021 45 75 203135 "HWC Chauroli" "Uttar Pradesh" "Gautam Buddha Nagar" Free
14-05-2021 45 62 201301 "CHC BISRAKH" "Uttar Pradesh" "Gautam Buddha Nagar" Free
14-05-2021 45 46 201301 "DISTRICT COMBINED HOSPITAL" "Uttar Pradesh" "Gautam Buddha Nagar" Free
15-05-2021 45 43 203135 "HWC Chauroli" "Uttar Pradesh" "Gautam Buddha Nagar" Free
14-05-2021 45 22 203135 "CHC JEWAR" "Uttar Pradesh" "Gautam Buddha Nagar" Free
14-05-2021 45 19 203135 "APHC Rabupura" "Uttar Pradesh" "Gautam Buddha Nagar" Free
14-05-2021 45 1 201301 "PHC MAMURA" "Uttar Pradesh" "Gautam Buddha Nagar" Free
14-05-2021 45 1 201301 "UPHC SECTOR 22" "Uttar Pradesh" "Gautam Buddha Nagar" Free
14-05-2021 45 1 201301 "PHC BAROLA" "Uttar Pradesh" "Gautam Buddha Nagar" Free
