date min_age_limit available_capacity pincode name state_name district_name fee_type
15-05-2021 45 74 488001 "GOVT. POLY TECHNIC COLLAGE" "Madhya Pradesh" Panna Free
15-05-2021 45 60 488220 "MRIDA PARIKSHAN KENDRA" "Madhya Pradesh" Panna Free
15-05-2021 45 60 488441 "MANGAL BHAWAN AMANGANJ" "Madhya Pradesh" Panna Free
15-05-2021 45 60 488448 "ANUSUCHIT JAATI CHATRAVAAS" "Madhya Pradesh" Panna Free
15-05-2021 45 60 488333 "OLD CHC DEVENDRA NAGAR" "Madhya Pradesh" Panna Free
15-05-2021 45 59 488059 "DOCTORS QUARTER GUNOUR" "Madhya Pradesh" Panna Free
15-05-2021 45 58 488446 "JAGDISH SWAMI CHATRAVAAS" "Madhya Pradesh" Panna Free
15-05-2021 45 15 488443 "PHC Raipura" "Madhya Pradesh" Panna Free
15-05-2021 45 15 488442 "PHC Mohandra" "Madhya Pradesh" Panna Free
15-05-2021 45 15 488442 "PHC Hardua Khamariya" "Madhya Pradesh" Panna Free
15-05-2021 45 15 488220 "PHC Chandoura" "Madhya Pradesh" Panna Free
15-05-2021 45 15 488333 "PHC Saleha" "Madhya Pradesh" Panna Free
15-05-2021 45 15 488050 "PHC Kakarahati" "Madhya Pradesh" Panna Free
15-05-2021 45 15 488051 "PHC Barachh" "Madhya Pradesh" Panna Free
15-05-2021 45 14 488001 "PHC Raksheha" "Madhya Pradesh" Panna Free
15-05-2021 45 14 488442 "PHC Simariya" "Madhya Pradesh" Panna Free
15-05-2021 45 13 488222 "Khora PHC" "Madhya Pradesh" Panna Free
15-05-2021 45 10 488442 "SHC Baari" "Madhya Pradesh" Panna Free
15-05-2021 45 10 488220 "Bariyarpur PHC" "Madhya Pradesh" Panna Free
15-05-2021 45 10 488333 "SHC Patnatamouli" "Madhya Pradesh" Panna Free
15-05-2021 45 10 488220 "SHC Beera" "Madhya Pradesh" Panna Free
15-05-2021 45 10 488448 "SHC Bagroud" "Madhya Pradesh" Panna Free
15-05-2021 45 10 488442 "SHC Heerapur" "Madhya Pradesh" Panna Free
15-05-2021 45 10 488448 "SHC Sungarha" "Madhya Pradesh" Panna Free
15-05-2021 45 10 488001 "SHC Brijpur" "Madhya Pradesh" Panna Free
15-05-2021 45 10 488059 "SHC Maheba" "Madhya Pradesh" Panna Free
15-05-2021 45 10 488442 "SHC Malghan" "Madhya Pradesh" Panna Free
15-05-2021 45 10 488333 "SHC Majhgawan" "Madhya Pradesh" Panna Free
15-05-2021 45 10 488333 "SHC Ganj" "Madhya Pradesh" Panna Free
15-05-2021 45 10 488442 "Devri SHC" "Madhya Pradesh" Panna Free
15-05-2021 45 8 488001 "SHC Dahlanchoki" "Madhya Pradesh" Panna Free
