date min_age_limit available_capacity pincode name state_name district_name fee_type
10-05-2021 45 150 803215 "Pandarak PHC" Bihar Patna Free
10-05-2021 45 150 800007 "Sampatchak PHC" Bihar Patna Free
10-05-2021 45 150 804454 "Masaurhi SDH" Bihar Patna Free
10-05-2021 45 150 803302 "Ghoswari PHC" Bihar Patna Free
11-05-2021 45 150 803215 "Pandarak PHC" Bihar Patna Free
11-05-2021 45 150 800007 "Sampatchak PHC" Bihar Patna Free
11-05-2021 45 150 804453 "Punpun PHC" Bihar Patna Free
12-05-2021 45 150 803215 "Pandarak PHC" Bihar Patna Free
12-05-2021 45 150 800007 "Patna Sadar PHC" Bihar Patna Free
12-05-2021 45 150 800007 "Sampatchak PHC" Bihar Patna Free
12-05-2021 45 150 803201 "FATHUA CHC" Bihar Patna Free
13-05-2021 45 150 803215 "Pandarak PHC" Bihar Patna Free
13-05-2021 45 150 800007 "Patna Sadar PHC" Bihar Patna Free
13-05-2021 45 150 800007 "Sampatchak PHC" Bihar Patna Free
13-05-2021 45 150 804453 "Punpun PHC" Bihar Patna Free
13-05-2021 45 150 803201 "FATHUA CHC" Bihar Patna Free
13-05-2021 45 150 804453 "Punpun PHC 2" Bihar Patna 
14-05-2021 45 150 803215 "Pandarak PHC" Bihar Patna Free
14-05-2021 45 150 801110 "Paliganj PHC" Bihar Patna Free
14-05-2021 45 150 803302 "Ghoswari PHC" Bihar Patna Free
15-05-2021 45 150 803215 "Pandarak PHC" Bihar Patna Free
15-05-2021 45 150 801110 "Paliganj PHC" Bihar Patna Free
15-05-2021 45 150 803201 "FATHUA CHC" Bihar Patna Free
15-05-2021 45 150 801304 "Daniyawan PHC" Bihar Patna Free
15-05-2021 45 150 803302 "Ghoswari PHC" Bihar Patna Free
09-05-2021 45 149 803302 "Ghoswari PHC" Bihar Patna Free
12-05-2021 45 149 801505 "Phulwari Sarif PHC" Bihar Patna Free
12-05-2021 45 149 801109 "Naubatpur PHC" Bihar Patna Free
12-05-2021 45 149 804453 "Punpun PHC" Bihar Patna Free
13-05-2021 45 149 801109 "Naubatpur PHC" Bihar Patna Free
14-05-2021 45 149 801109 "Naubatpur PHC" Bihar Patna Free
14-05-2021 45 149 803201 "FATHUA CHC" Bihar Patna Free
15-05-2021 45 149 801109 "Naubatpur PHC" Bihar Patna Free
09-05-2021 45 148 804454 "Masaurhi SDH" Bihar Patna Free
11-05-2021 45 148 803201 "FATHUA CHC" Bihar Patna Free
13-05-2021 45 148 801505 "Phulwari Sarif PHC" Bihar Patna Free
10-05-2021 45 147 803202 "Khushrupur PHC" Bihar Patna Free
11-05-2021 45 147 801505 "Phulwari Sarif PHC" Bihar Patna Free
11-05-2021 45 147 801109 "Naubatpur PHC" Bihar Patna Free
11-05-2021 45 147 804454 "Masaurhi SDH" Bihar Patna Free
13-05-2021 45 147 803221 "Pandarak PHC 2" Bihar Patna Free
10-05-2021 45 144 803201 "FATHUA CHC" Bihar Patna Free
09-05-2021 45 143 803202 "Khushrupur PHC" Bihar Patna Free
10-05-2021 45 143 804453 "Punpun PHC" Bihar Patna Free
10-05-2021 45 143 800004 "PMCH Patna" Bihar Patna Free
09-05-2021 45 142 801109 "Naubatpur PHC" Bihar Patna Free
10-05-2021 45 142 801505 "Phulwari Sarif PHC" Bihar Patna Free
10-05-2021 45 142 801109 "Naubatpur PHC" Bihar Patna Free
10-05-2021 45 141 803221 "Pandarak PHC 2" Bihar Patna Free
10-05-2021 45 140 801110 "Paliganj PHC" Bihar Patna Free
09-05-2021 45 137 803201 "FATHUA CHC" Bihar Patna Free
09-05-2021 45 136 801110 "Paliganj PHC" Bihar Patna Free
13-05-2021 45 116 800007 "Patna Sadar PHC 2" Bihar Patna Free
09-05-2021 45 114 801503 "Danapur Mandal Hospital" Bihar Patna Free
10-05-2021 45 114 801503 "Danapur Mandal Hospital" Bihar Patna Free
10-05-2021 45 101 804453 "Punpun PHC 2" Bihar Patna 
11-05-2021 45 100 803212 "UPHC Alamganj Machuatoli" Bihar Patna Free
12-05-2021 45 100 803302 "Mokama PHC (18 To 44 )" Bihar Patna Free
15-05-2021 45 100 801304 Machariyawan Bihar Patna Free
15-05-2021 45 100 801304 "Singariyawan HWC" Bihar Patna Free
15-05-2021 45 100 801304 "Shajahanpur HWC" Bihar Patna Free
14-05-2021 45 97 801503 "Danapur Mandal Hospital" Bihar Patna Free
13-05-2021 45 96 801503 "Danapur Mandal Hospital" Bihar Patna Free
12-05-2021 45 94 801503 "Danapur Mandal Hospital" Bihar Patna Free
09-05-2021 45 86 801505 "Phulwari Sarif PHC 2" Bihar Patna Free
15-05-2021 45 83 801503 "Danapur Mandal Hospital" Bihar Patna Free
09-05-2021 45 60 801102 "Dulhinbazar PHC" Bihar Patna Free
09-05-2021 45 60 801304 "Daniyawan PHC" Bihar Patna Free
10-05-2021 45 60 804451 "Dhanarua PHC" Bihar Patna Free
10-05-2021 45 60 801304 "Daniyawan PHC" Bihar Patna Free
11-05-2021 45 60 801104 "Bikram PHC" Bihar Patna Free
11-05-2021 45 60 801304 "Shajahanpur HWC" Bihar Patna Free
11-05-2021 45 60 801304 "Daniyawan PHC" Bihar Patna Free
12-05-2021 45 60 801104 "Bikram PHC" Bihar Patna Free
12-05-2021 45 60 801102 "Dulhinbazar PHC" Bihar Patna Free
12-05-2021 45 60 801304 "Shajahanpur HWC" Bihar Patna Free
12-05-2021 45 60 801304 "Daniyawan PHC" Bihar Patna Free
13-05-2021 45 60 801104 "Bikram PHC" Bihar Patna Free
13-05-2021 45 60 801102 "Dulhinbazar PHC" Bihar Patna Free
13-05-2021 45 60 804451 "Dhanarua PHC" Bihar Patna Free
13-05-2021 45 60 801304 "Daniyawan PHC" Bihar Patna Free
14-05-2021 45 60 801104 "Bikram PHC" Bihar Patna Free
14-05-2021 45 60 801102 "Dulhinbazar PHC" Bihar Patna Free
14-05-2021 45 60 804451 "Dhanarua PHC" Bihar Patna Free
14-05-2021 45 60 801304 "Daniyawan PHC" Bihar Patna Free
15-05-2021 45 60 801104 "Bikram PHC" Bihar Patna Free
15-05-2021 45 60 801102 "Dulhinbazar PHC" Bihar Patna Free
12-05-2021 45 59 804451 "Dhanarua PHC" Bihar Patna Free
13-05-2021 45 59 801105 "Danapur PHC" Bihar Patna Free
14-05-2021 45 59 801105 "Danapur PHC" Bihar Patna Free
09-05-2021 45 58 804451 "Dhanarua PHC" Bihar Patna Free
09-05-2021 45 58 801105 "Danapur PHC" Bihar Patna Free
10-05-2021 45 58 801102 "Dulhinbazar PHC" Bihar Patna Free
11-05-2021 45 58 801102 "Dulhinbazar PHC" Bihar Patna Free
11-05-2021 45 58 804451 "Dhanarua PHC" Bihar Patna Free
12-05-2021 45 58 801105 "Danapur PHC" Bihar Patna Free
15-05-2021 45 58 804451 "Dhanarua PHC" Bihar Patna Free
15-05-2021 45 58 801105 "Danapur PHC" Bihar Patna Free
09-05-2021 45 56 801503 "Danapur Sdh" Bihar Patna Free
12-05-2021 45 56 801503 "Danapur Sdh" Bihar Patna Free
11-05-2021 45 52 801105 "Danapur PHC" Bihar Patna Free
09-05-2021 45 50 803215 "Pandarak PHC" Bihar Patna Free
09-05-2021 45 50 804453 "Akuna HWC" Bihar Patna Free
09-05-2021 45 50 803302 "Kanhiapur HWC" Bihar Patna Free
09-05-2021 45 50 803214 "Madadpur HWC" Bihar Patna Free
09-05-2021 45 50 801108 Suarmarwa Bihar Patna Free
09-05-2021 45 50 801110 "Kodhari HWC" Bihar Patna Free
09-05-2021 45 50 804453 "Pothahi HWC" Bihar Patna Free
09-05-2021 45 50 801104 "Barah HWC" Bihar Patna Free
09-05-2021 45 50 801110 "Samda HWC" Bihar Patna Free
09-05-2021 45 50 801104 "Arap HWC" Bihar Patna Free
09-05-2021 45 50 801104 "Gona HWC (Age 18 To 44)" Bihar Patna Free
09-05-2021 45 50 803201 "Bindauli HWC" Bihar Patna Free
09-05-2021 45 50 801105 "SARAI GUMTI HWC" Bihar Patna Free
09-05-2021 45 50 800007 "Patna Sadar PHC" Bihar Patna Free
09-05-2021 45 50 803110 "Belchhi PHC.." Bihar Patna Free
09-05-2021 45 50 803221 "Shahnaura HWC" Bihar Patna Free
09-05-2021 45 50 801105 "Hetanpur HWC" Bihar Patna Free
09-05-2021 45 50 801108 Maulinagar Bihar Patna Free
09-05-2021 45 50 800007 "GAUHARPUR HWC" Bihar Patna Free
09-05-2021 45 50 803212 "Salimpur HWC" Bihar Patna Free
09-05-2021 45 50 803213 "EKDANGA HWC" Bihar Patna Free
09-05-2021 45 50 803221 "Gwasashekhpura HWC" Bihar Patna Free
09-05-2021 45 50 803221 "Ajgara HWC" Bihar Patna Free
09-05-2021 45 50 804451 "SIMHARI HWC" Bihar Patna Free
09-05-2021 45 50 803221 "Bihari Bigha HWC" Bihar Patna Free
09-05-2021 45 50 803302 "Samayagarh HWC" Bihar Patna Free
09-05-2021 45 50 804453 "Maranchi HWC" Bihar Patna Free
09-05-2021 45 50 803212 "Gyaspur HWC" Bihar Patna Free
09-05-2021 45 50 801108 Sarari Bihar Patna Free
09-05-2021 45 50 804453 "Paimar HWC" Bihar Patna Free
09-05-2021 45 50 803221 "Darve HWC" Bihar Patna Free
09-05-2021 45 50 801304 Machariyawan Bihar Patna Free
09-05-2021 45 50 804453 "Punpun PHC" Bihar Patna Free
09-05-2021 45 50 803213 "Sakshora HWC" Bihar Patna Free
09-05-2021 45 50 804454 "BHAISWA HWC" Bihar Patna Free
09-05-2021 45 50 804454 "Saguni HWC" Bihar Patna Free
09-05-2021 45 50 801105 "Manas HWC" Bihar Patna Free
09-05-2021 45 50 803212 "KARJAN HWC" Bihar Patna Free
09-05-2021 45 50 801304 "Singariyawan HWC" Bihar Patna Free
09-05-2021 45 50 801104 "Taripar HWC" Bihar Patna Free
09-05-2021 45 50 801104 "Datiyana Hwc" Bihar Patna Free
09-05-2021 45 50 801505 "Sorampur HWC" Bihar Patna Free
09-05-2021 45 50 801103 "Neura HWC" Bihar Patna Free
09-05-2021 45 50 801304 "Shajahanpur HWC" Bihar Patna Free
09-05-2021 45 50 801109 "Jalpura HWC" Bihar Patna Free
09-05-2021 45 50 800007 "Taranpur HSC" Bihar Patna Free
09-05-2021 45 50 804454 "Lashuna HWC" Bihar Patna Free
09-05-2021 45 50 801104 "Manjhuli HWC Bik" Bihar Patna Free
09-05-2021 45 50 801105 "Shahpur HWC" Bihar Patna Free
09-05-2021 45 50 803212 "Sirsi HWC" Bihar Patna Free
09-05-2021 45 50 803212 "Jamalpur Bigha HWC" Bihar Patna Free
09-05-2021 45 50 803110 "Jalalpur HWC." Bihar Patna Free
09-05-2021 45 50 800003 "Police Hospital." Bihar Patna Free
09-05-2021 45 50 804453 "Makdumpur HWC" Bihar Patna Free
09-05-2021 45 50 801108 "Sherpur HWC." Bihar Patna Free
10-05-2021 45 50 803302 "Kanhiapur HWC" Bihar Patna Free
10-05-2021 45 50 801108 Suarmarwa Bihar Patna Free
10-05-2021 45 50 803213 "Dhanama HWC" Bihar Patna Free
10-05-2021 45 50 801110 "Samda HWC" Bihar Patna Free
10-05-2021 45 50 803212 "Bakhtiyarpur PHC" Bihar Patna Free
10-05-2021 45 50 803201 "Bindauli HWC" Bihar Patna Free
10-05-2021 45 50 800007 "Patna Sadar PHC" Bihar Patna Free
10-05-2021 45 50 803221 "Shahnaura HWC" Bihar Patna Free
10-05-2021 45 50 803201 "Saidanpur Masadhi HWC" Bihar Patna Free
10-05-2021 45 50 803212 "Salimpur HWC" Bihar Patna Free
10-05-2021 45 50 803213 "EKDANGA HWC" Bihar Patna Free
