date min_age_limit available_capacity pincode name state_name district_name fee_type
18-05-2021 45 50 584102 "Wandali SC Covaxin" Karnataka Raichur Free
19-05-2021 45 48 584129 "Ballatagi PHC(Covaxin)" Karnataka Raichur Free
17-05-2021 45 47 584126 "Hirebudur PHC" Karnataka Raichur Free
15-05-2021 45 46 584111 "Koppar PHC(Covaxin)" Karnataka Raichur Free
19-05-2021 45 46 584134 "Murnapur SC" Karnataka Raichur Free
19-05-2021 45 45 584143 "Pothnal PHC(Covaxin)" Karnataka Raichur Free
15-05-2021 45 44 584111 "Kottadoddi SC" Karnataka Raichur Free
17-05-2021 45 44 584102 "Wandali SC Covaxin" Karnataka Raichur Free
17-05-2021 45 43 584111 "Koppar PHC(Covaxin)" Karnataka Raichur Free
18-05-2021 45 43 584134 "Murnapur SC" Karnataka Raichur Free
18-05-2021 45 40 584129 "Chagbhavi SC Covaxin" Karnataka Raichur Free
14-05-2021 45 39 584111 "Koppar PHC(Covaxin)" Karnataka Raichur Free
17-05-2021 45 31 584143 "Pothnal PHC(Covaxin)" Karnataka Raichur Free
14-05-2021 45 30 584125 Jakkermadu(Covax) Karnataka Raichur Free
19-05-2021 45 19 584123 "Byagwat PHC(COVAXIN)" Karnataka Raichur Free
15-05-2021 45 13 584116 "Jalahalli CHC(Covaxin)" Karnataka Raichur Free
14-05-2021 45 7 584129 "Ballatagi PHC(Covaxin)" Karnataka Raichur Free
19-05-2021 45 4 584128 "Tadkal SC(Covaxin)" Karnataka Raichur Free
