date min_age_limit available_capacity pincode name state_name district_name fee_type
09-05-2021 45 298 492001 "Om Hospital Raipur" Chhattisgarh Raipur Paid
09-05-2021 45 50 493441 "PHC Bhansoj B" Chhattisgarh Raipur Free
09-05-2021 45 50 493441 "PHC Farfoud B" Chhattisgarh Raipur Free
09-05-2021 45 50 493441 "PHC Kurud Kutela" Chhattisgarh Raipur Free
09-05-2021 45 50 493661 "Pacheda HWC" Chhattisgarh Raipur 
09-05-2021 45 50 493441 "PHC Bhansoj" Chhattisgarh Raipur Free
09-05-2021 45 50 493441 "Arang CHC B" Chhattisgarh Raipur Free
09-05-2021 45 50 493441 "PHC Kurud Kutela B" Chhattisgarh Raipur Free
09-05-2021 45 50 493441 "PHC Farfoud" Chhattisgarh Raipur Free
10-05-2021 45 50 493441 "PHC Bhansoj B" Chhattisgarh Raipur Free
10-05-2021 45 50 493441 "PHC Farfoud B" Chhattisgarh Raipur Free
10-05-2021 45 50 493441 "PHC Kurud Kutela" Chhattisgarh Raipur Free
10-05-2021 45 50 493661 "Pacheda HWC" Chhattisgarh Raipur 
10-05-2021 45 50 493441 "PHC Bhansoj" Chhattisgarh Raipur Free
10-05-2021 45 50 493441 "Arang CHC B" Chhattisgarh Raipur Free
10-05-2021 45 50 493441 "PHC Kurud Kutela B" Chhattisgarh Raipur Free
10-05-2021 45 50 493441 "PHC REEWA" Chhattisgarh Raipur Free
11-05-2021 45 50 493661 "Pacheda HWC" Chhattisgarh Raipur 
12-05-2021 45 50 493661 "Pacheda HWC" Chhattisgarh Raipur 
13-05-2021 45 50 493661 "Pacheda HWC" Chhattisgarh Raipur 
13-05-2021 45 50 493441 Paragaon Chhattisgarh Raipur Free
10-05-2021 45 49 493441 "PHC Chandkhuri B" Chhattisgarh Raipur Free
10-05-2021 45 49 493441 "PHC Farfoud" Chhattisgarh Raipur Free
09-05-2021 45 48 493441 "PHC Chandkhuri" Chhattisgarh Raipur Free
10-05-2021 45 48 493441 "CHC Rakhi Sector 25 B" Chhattisgarh Raipur Free
09-05-2021 45 47 493441 "PHC Chandkhuri B" Chhattisgarh Raipur Free
09-05-2021 45 47 493441 "Arang CHC" Chhattisgarh Raipur Free
10-05-2021 45 47 493441 "PHC REEWA B" Chhattisgarh Raipur Free
15-05-2021 45 47 493441 "Arang CHC" Chhattisgarh Raipur Free
09-05-2021 45 46 493441 "PHC MANDIRHASOUD B" Chhattisgarh Raipur Free
10-05-2021 45 45 493441 "PHC MANDIRHASOUD B" Chhattisgarh Raipur Free
10-05-2021 45 45 493441 "Arang CHC" Chhattisgarh Raipur Free
10-05-2021 45 44 493441 "PHC Chandkhuri" Chhattisgarh Raipur Free
