date min_age_limit available_capacity pincode name state_name district_name fee_type
09-05-2021 45 50 171001 "IGMC AT DENTAL COLLEGE CVC" "Himachal Pradesh" Shimla Free
09-05-2021 45 50 171301 "CH Sunni CVC" "Himachal Pradesh" Shimla Free
09-05-2021 45 50 172001 "CH MGMSC Khaneri CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171301 "CH Sunni CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 172001 "CH MGMSC Khaneri CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 172027 "CHC Baragaon CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171211 "PHC Pulbahal CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171217 "AHC Dharchanna CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171226 "PHC Basadhar CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171206 "HSC Ghyan CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171209 "PHC Bani CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171203 "CHC Tikkar CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 172101 "PHC Jeori CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 172001 "AYURVEDIC HOSPITAL RAMPUR CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171214 "PHC Badiyara CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171214 "PHC Jangla CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171218 "PHC Khera CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171211 "PHC Sarain CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171211 "CH Chopal CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171207 "HSC Dhara CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171201 "CH THEOG CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171220 "PHC Chailla CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171217 "CHC Kupvi CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 172001 "PHC KHARAHAN CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 172101 "PHC GHANVI CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171202 "PHC Purag CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171781 "CHC KOTKHAI CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171207 "CH Rohru CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 172029 "CH Kumarsain CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171212 "PHC MATIANA CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171208 "CHC Chirgaon CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 172022 "CHC Taklech CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 172021 "CHC Nankhari CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 172021 "HSC Danawali CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171207 "HSC Kansakoti CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171207 "HSC Sainji CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171210 "CH NERWA CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 172201 "PHC Gopalpur CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171226 "HSC Joy Kashna CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171220 "PHC Balag CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 50 171001 "PHC JAKHU CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 49 171011 "PHC Totu CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 49 172029 "PHC Malendi CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 49 171001 "DDU Old Building CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 48 171001 "KNH Hospital CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 48 172031 "CH Kotgarh CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 48 171007 "CHC Mashobra CVC" "Himachal Pradesh" Shimla Free
11-05-2021 45 47 171001 "IGMC AT DENTAL COLLEGE CVC" "Himachal Pradesh" Shimla Free
13-05-2021 45 45 171001 "IGMC AT DENTAL COLLEGE CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 44 171001 "IGMC AT DENTAL COLLEGE CVC" "Himachal Pradesh" Shimla Free
10-05-2021 45 44 171009 "PHC Kasumpti AT GSSS KASUMPTI" "Himachal Pradesh" Shimla Free
12-05-2021 45 42 171001 "IGMC AT DENTAL COLLEGE CVC" "Himachal Pradesh" Shimla Free
14-05-2021 45 42 171001 "IGMC AT DENTAL COLLEGE CVC" "Himachal Pradesh" Shimla Free
15-05-2021 45 36 171001 "IGMC AT DENTAL COLLEGE CVC" "Himachal Pradesh" Shimla Free
