date min_age_limit available_capacity pincode name state_name district_name fee_type
11-05-2021 45 73 173211 "Radha Swami Satsang Solan" "Himachal Pradesh" Solan Free
10-05-2021 45 50 173209 "Dharampur CHC(CVC)" "Himachal Pradesh" Solan Free
10-05-2021 45 50 171102 "Sera HSC" "Himachal Pradesh" Solan Free
10-05-2021 45 50 173236 "Darwa HSC" "Himachal Pradesh" Solan Free
10-05-2021 45 50 171102 "Khali- HSC" "Himachal Pradesh" Solan Free
10-05-2021 45 50 173211 "Deothi PHC CVC" "Himachal Pradesh" Solan Free
10-05-2021 45 50 171102 "Kandher GAD" "Himachal Pradesh" Solan Free
10-05-2021 45 50 173215 "Kandaghat MCH(CVC)" "Himachal Pradesh" Solan Free
10-05-2021 45 50 173215 "CH Chail CVC-2" "Himachal Pradesh" Solan Free
10-05-2021 45 50 173236 "Gharshi HSC" "Himachal Pradesh" Solan Free
10-05-2021 45 50 173236 "Chandi CHC-CVC2" "Himachal Pradesh" Solan Free
10-05-2021 45 50 171102 "Sangoi HSC" "Himachal Pradesh" Solan Free
10-05-2021 45 50 171102 "Parnoo HSC" "Himachal Pradesh" Solan Free
10-05-2021 45 50 174102 "Ramsahar MCH CVC-2" "Himachal Pradesh" Solan Free
10-05-2021 45 50 173201 "Danoghat HSC" "Himachal Pradesh" Solan Free
10-05-2021 45 50 173233 "Bhaguri HSC" "Himachal Pradesh" Solan Free
10-05-2021 45 50 173209 "Rouri HSC" "Himachal Pradesh" Solan Free
10-05-2021 45 50 173234 "Kadaur HSC" "Himachal Pradesh" Solan Free
10-05-2021 45 50 171102 "Giana HSC" "Himachal Pradesh" Solan Free
11-05-2021 45 50 173215 "Kandaghat MCH(CVC)" "Himachal Pradesh" Solan Free
11-05-2021 45 50 173234 "Basha HSC" "Himachal Pradesh" Solan Free
11-05-2021 45 50 173215 "Kyartoo HSC" "Himachal Pradesh" Solan Free
11-05-2021 45 50 171102 "PHC Navgaon (CVC)" "Himachal Pradesh" Solan Free
12-05-2021 45 50 173212 "Kotlamashiwar HSC" "Himachal Pradesh" Solan Free
15-05-2021 45 50 173209 "Sandhog HSC" "Himachal Pradesh" Solan Free
15-05-2021 45 50 137210 "Sanana HSC" "Himachal Pradesh" Solan Free
09-05-2021 45 49 173209 "Jabli HSC" "Himachal Pradesh" Solan Free
10-05-2021 45 49 173204 "Kasauli ESI" "Himachal Pradesh" Solan Free
10-05-2021 45 49 173233 "Patta Mehlog CVC-2" "Himachal Pradesh" Solan Free
12-05-2021 45 49 173215 "Kandaghat MCH(CVC)" "Himachal Pradesh" Solan Free
09-05-2021 45 48 173206 "Haripur HSC" "Himachal Pradesh" Solan Free
10-05-2021 45 48 174103 "Barotiwala CHC(CVC)" "Himachal Pradesh" Solan Free
11-05-2021 45 48 174101 "Nalagarh Hospital(CVC-2)" "Himachal Pradesh" Solan Free
11-05-2021 45 48 173201 "Danoghat HSC" "Himachal Pradesh" Solan Free
14-05-2021 45 48 173207 "Maan HSC" "Himachal Pradesh" Solan Free
15-05-2021 45 48 171102 "DARLAGHAT ESI -CVC-2" "Himachal Pradesh" Solan Free
10-05-2021 45 47 173207 "Kunihar CVC-2" "Himachal Pradesh" Solan Free
14-05-2021 45 47 173209 "Dharampur CHC(CVC)" "Himachal Pradesh" Solan Free
10-05-2021 45 46 171102 "DARLAGHAT ESI -CVC-2" "Himachal Pradesh" Solan Free
12-05-2021 45 46 171102 "DARLAGHAT ESI -CVC-2" "Himachal Pradesh" Solan Free
13-05-2021 45 46 171102 "DARLAGHAT ESI -CVC-2" "Himachal Pradesh" Solan Free
14-05-2021 45 46 171102 "DARLAGHAT ESI -CVC-2" "Himachal Pradesh" Solan Free
10-05-2021 45 45 173212 "RH Solan (CVC-2)" "Himachal Pradesh" Solan Free
15-05-2021 45 45 173209 "Dharampur CHC(CVC)" "Himachal Pradesh" Solan Free
10-05-2021 45 43 173208 "Arki MCH CVC-2" "Himachal Pradesh" Solan Free
09-05-2021 45 42 174101 "Narsingh HSC" "Himachal Pradesh" Solan Free
10-05-2021 45 42 174101 "Nalagarh Hospital(CVC-2)" "Himachal Pradesh" Solan Free
11-05-2021 45 42 171102 "DARLAGHAT ESI -CVC-2" "Himachal Pradesh" Solan Free
12-05-2021 45 42 173211 "Radha Swami Satsang Solan" "Himachal Pradesh" Solan Free
14-05-2021 45 40 173211 "Radha Swami Satsang Solan" "Himachal Pradesh" Solan Free
11-05-2021 45 39 173229 "ESI Parwanoo (CVC-2)" "Himachal Pradesh" Solan Free
15-05-2021 45 39 174101 "Dhana HSC" "Himachal Pradesh" Solan Free
10-05-2021 45 38 173229 "ESI Parwanoo (CVC-2)" "Himachal Pradesh" Solan Free
12-05-2021 45 37 173209 "Dharampur CHC(CVC)" "Himachal Pradesh" Solan Free
13-05-2021 45 36 173205 "Baddi Civil Hospital" "Himachal Pradesh" Solan Free
10-05-2021 45 35 173212 "Ayurvadic Hospital Solan CVC-2" "Himachal Pradesh" Solan Free
13-05-2021 45 34 173211 "Radha Swami Satsang Solan" "Himachal Pradesh" Solan Free
15-05-2021 45 29 173229 "ESI Parwanoo (CVC-2)" "Himachal Pradesh" Solan Free
12-05-2021 45 26 173205 "Baddi Civil Hospital" "Himachal Pradesh" Solan Free
11-05-2021 45 21 173205 "Baddi Civil Hospital" "Himachal Pradesh" Solan Free
