date min_age_limit available_capacity pincode name state_name district_name fee_type
14-05-2021 45 149 231216 "Distt Hospital Lodhi (CVC-G)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 147 231222 "PHC Shaktinagar (Covax)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 145 231221 "PHC Pipari (Covax)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 144 231225 "Combine Hosp Anapara (Covax)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 120 231208 "CHC Myorpur (CVC-G)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 119 231210 "CHC Ghorawal (CVC-G)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 117 231205 "CHC Chopan (CVC-G)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 116 231216 "DCH Lodhi (Covaxin)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 115 231216 "UPHC Robertsganj (CVC-G)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 112 231219 "Prjct Hospital Obra (Covax)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 90 231208 "CHC Dudhi (CVC-G)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 90 231216 "PHC Karama (CVC-G)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 90 231208 "CHC Babhani (CVC-G)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 90 231215 "Shahganj PHC (CVC-G)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 90 231208 "PHC Satbabhani (CVC-G)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 90 231213 "CHC Nagawa (CVC-G)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 90 231216 "PHC Parsauna (CVC-G)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 86 231216 "Kakrahi PHC (Covaxin)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 85 231213 "Chatara PHC (CVC-G)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 75 231221 "PHC Beejpur (CVC-G)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 74 231217 "PHC Kon (CVC-G)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 73 231216 "PHC Parasi (Covax)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 60 231210 "Ghorawal CHC (Covax)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 60 231208 "HWC Arjhat (CVC-G)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 60 231226 "PHC Windhamganj (Covax)" "Uttar Pradesh" Sonbhadra Free
14-05-2021 45 50 231213 "PHC Panaura (CVC-G)" "Uttar Pradesh" Sonbhadra Free
