date min_age_limit available_capacity pincode name state_name district_name fee_type
09-05-2021 45 50 621306 "Manaparai HeadQuarter Hospital" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 620012 "Nagamangalam APHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621006 "Omanthur GH" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621314 "Thuvarankurichi GH" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621112 "Samayapuram APHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621308 "Marungapuri Mc" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621218 "Valadi APHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621653 "Orathur APHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621651 "Kanakiliyanallur APHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621104 "Pirahambi APHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 639112 "D.Pettavaithalai Upgraded PHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621005 "94 Kariyamickam APHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621217 "T Puthur Upgraded PHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 620013 "Arasankudi APHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621712 "Sirumayankudi APHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621651 "Alunthalaipur APHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621652 "Melarasur APHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 639115 "Perugamani APHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621206 "Veeramachanpatti Upgraded PHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621007 "Edumalai APHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621702 "Anbil APHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621712 "Thatchankurichi APHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621712 "Puduruthamanur Upgraded PHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621215 "Thottiam GH" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621651 "Peruvalapur APHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621315 "Vaiyampatty Upgraded PHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 620102 "Thayanur Mc" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621207 "Kattuputhur Upgraded PHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621651 "Kallakudi APHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 639101 "Andhanallur APHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621105 "Irungalur APHC" "Tamil Nadu" Tiruchirappalli Free
09-05-2021 45 50 621310 "Puthanatham BPHC" "Tamil Nadu" Tiruchirappalli Free
10-05-2021 45 50 620012 "Nagamangalam APHC" "Tamil Nadu" Tiruchirappalli Free
10-05-2021 45 50 621006 "Omanthur GH" "Tamil Nadu" Tiruchirappalli Free
10-05-2021 45 50 621314 "Thuvarankurichi GH" "Tamil Nadu" Tiruchirappalli Free
10-05-2021 45 50 621308 "Marungapuri Mc" "Tamil Nadu" Tiruchirappalli Free
10-05-2021 45 50 621653 "Orathur APHC" "Tamil Nadu" Tiruchirappalli Free
10-05-2021 45 50 621651 "Kanakiliyanallur APHC" "Tamil Nadu" Tiruchirappalli Free
