date min_age_limit available_capacity pincode name state_name district_name fee_type
09-05-2021 45 50 833214 "PANCHAYAT RUIYA" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833214 "PANCHAYAT RUIYA" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833105 "Panchayat Govindpur" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833105 "Panchayat Govindpur" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833201 Khuntpani Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833215 "Nimdih Panchayat" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833103 "Bara Panchyat" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833105 "Panchayat Porahat" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833215 "PANCHAYAT TUTUGUTU" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833215 "PANCHAYAT TUTUGUTU" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833215 "PANCHAYAT KUDAHATU" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833215 "PANCHAYAT KUDAHATU" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 835216 "PANCHAYAT BANDGAON" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833102 "Carmel School Ckp" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833215 "Serengsia Panchyat" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833215 "Serengsia Panchyat" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833215 "PANCHAYAT KOCHRA" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833215 "PANCHAYAT KOCHRA" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833102 "Panchayat Hathiya" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833214 "PANCHAYAT AMADIA" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833214 "PANCHAYAT AMADIA" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833215 "Kondowa Panchayat" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833214 "PANCHAYAT JAIPUR" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833214 "PANCHAYAT JAIPUR" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833214 "Khandkori Panchayat" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833201 "CHC Sadar Covaxin" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833201 "Kathbhari Panchayat" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833214 "Kumardungi CHC" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 835216 "PANCHAYAT NAKTI" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833204 "Baraguntia Panchyat" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833104 "Manoharpur CHC" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833104 "Manoharpur CHC" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833105 "Sonua CHC" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833105 "Sonua CHC" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 835216 "PANCHAYAT OTAR" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833201 "New Colony Tungri Chaibasa" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833201 "Purniya Panchayat" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833201 "Panchyat Narsanda" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833201 "Panchyat Narsanda" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833223 "MBR South PROJECT SCHOOL" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833214 "PANCHAYAT NURDA" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833214 "PANCHAYAT NURDA" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833105 "Panchayat Sonapos" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833105 "Panchayat Sonapos" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 835216 "Bandgaon CHC" Jharkhand "West Singhbhum" Free
09-05-2021 45 50 833223 "MBR North KARAMPADA" Jharkhand "West Singhbhum" Free
