date min_age_limit available_capacity pincode name state_name district_name fee_type
17-05-2021 45 121 484661 "Umaria District Hospital" "Madhya Pradesh" Umaria Free
20-05-2021 45 115 484661 "Umaria District Hospital" "Madhya Pradesh" Umaria Free
15-05-2021 45 114 484661 "Umaria District Hospital" "Madhya Pradesh" Umaria Free
15-05-2021 45 15 484660 Harrwah "Madhya Pradesh" Umaria Free
15-05-2021 45 15 484660 "Bilaspur Primary Health Centre" "Madhya Pradesh" Umaria Free
15-05-2021 45 15 484555 Ghulghuli "Madhya Pradesh" Umaria Free
17-05-2021 45 15 484660 Harrwah "Madhya Pradesh" Umaria Free
17-05-2021 45 15 484660 "Bilaspur Primary Health Centre" "Madhya Pradesh" Umaria Free
17-05-2021 45 15 484555 Ghulghuli "Madhya Pradesh" Umaria Free
20-05-2021 45 15 484660 Harrwah "Madhya Pradesh" Umaria Free
20-05-2021 45 15 484555 Ghulghuli "Madhya Pradesh" Umaria Free
20-05-2021 45 14 484660 "Bilaspur Primary Health Centre" "Madhya Pradesh" Umaria Free
20-05-2021 45 14 484555 Naurozabad "Madhya Pradesh" Umaria Free
15-05-2021 45 13 484551 "Pali Community Health Centre" "Madhya Pradesh" Umaria Free
15-05-2021 45 12 484660 "Chandia CHC" "Madhya Pradesh" Umaria Free
15-05-2021 45 10 484551 "Chandpur Sub Health Center" "Madhya Pradesh" Umaria Free
15-05-2021 45 10 484661 "Amadogri SHC" "Madhya Pradesh" Umaria Free
15-05-2021 45 10 484661 "Amdi SHC" "Madhya Pradesh" Umaria Free
15-05-2021 45 10 484661 "Chandwar SHC" "Madhya Pradesh" Umaria Free
15-05-2021 45 10 484661 "Baderi SHC" "Madhya Pradesh" Umaria Free
17-05-2021 45 10 484551 "Chandpur Sub Health Center" "Madhya Pradesh" Umaria Free
17-05-2021 45 10 484661 "Amadogri SHC" "Madhya Pradesh" Umaria Free
17-05-2021 45 10 484551 "Maliyaguda SHC" "Madhya Pradesh" Umaria Free
17-05-2021 45 10 484661 "Amdi SHC" "Madhya Pradesh" Umaria Free
17-05-2021 45 10 484661 "Chandwar SHC" "Madhya Pradesh" Umaria Free
17-05-2021 45 10 484661 "Baderi SHC" "Madhya Pradesh" Umaria Free
17-05-2021 45 10 484555 Naurozabad "Madhya Pradesh" Umaria Free
20-05-2021 45 10 484551 "Chandpur Sub Health Center" "Madhya Pradesh" Umaria Free
20-05-2021 45 10 484661 "Amadogri SHC" "Madhya Pradesh" Umaria Free
20-05-2021 45 10 484661 "Amdi SHC" "Madhya Pradesh" Umaria Free
20-05-2021 45 10 484661 "Chandwar SHC" "Madhya Pradesh" Umaria Free
15-05-2021 45 9 484661 "Karkeli PHC" "Madhya Pradesh" Umaria Free
20-05-2021 45 9 484661 "Baderi SHC" "Madhya Pradesh" Umaria Free
15-05-2021 45 8 484551 "Maliyaguda SHC" "Madhya Pradesh" Umaria Free
15-05-2021 45 7 484555 Naurozabad "Madhya Pradesh" Umaria Free
17-05-2021 45 7 484551 "Pali Community Health Centre" "Madhya Pradesh" Umaria Free
20-05-2021 45 2 484551 "Maliyaguda SHC" "Madhya Pradesh" Umaria Free
