date min_age_limit available_capacity pincode name state_name district_name fee_type
10-05-2021 18 165 844508 "Raghopur RH Mohanpur" Bihar Vaishali Free
09-05-2021 18 3 844508 "Raghopur RH Mohanpur" Bihar Vaishali Free
date min_age_limit available_capacity pincode name state_name district_name fee_type
10-05-2021 45 25 844508 "Raghopur PHC" Bihar Vaishali Free
11-05-2021 45 25 844509 "Sahdei Buzurg PHC" Bihar Vaishali Free
10-05-2021 45 22 844509 "Sahdei Buzurg PHC" Bihar Vaishali Free
09-05-2021 45 19 843102 "Bhagwanpur CHC CoVaxin" Bihar Vaishali Free
09-05-2021 45 19 844114 "Bhagwanpur HSC Ratanpura" Bihar Vaishali Free
10-05-2021 45 18 844112 "Chehra Kala PHC" Bihar Vaishali Free
10-05-2021 45 18 844124 "Rajapakar CHC" Bihar Vaishali Free
10-05-2021 45 16 844114 "Bhagwanpur HSC Ratanpura" Bihar Vaishali Free
10-05-2021 45 10 844508 "Raghopur RH Mohanpur" Bihar Vaishali Free
09-05-2021 45 9 844509 "Sahdei Buzurg PHC" Bihar Vaishali Free
09-05-2021 45 9 844508 "Raghopur RH Mohanpur" Bihar Vaishali Free
09-05-2021 45 8 844112 "Chehra Kala PHC" Bihar Vaishali Free
09-05-2021 45 8 844118 "SDH Mahua" Bihar Vaishali Free
10-05-2021 45 8 844504 "Desri PHC" Bihar Vaishali Free
09-05-2021 45 7 844111 "Paterhi Belsar PHC Covaxin" Bihar Vaishali Free
09-05-2021 45 7 844114 "Bhagwanpur CHC" Bihar Vaishali Free
09-05-2021 45 7 844506 "Mahnar CHC" Bihar Vaishali Free
10-05-2021 45 7 844503 "Bidupur PHC" Bihar Vaishali Free
09-05-2021 45 6 844128 "Vaishali PHC CoVaxin" Bihar Vaishali Free
10-05-2021 45 6 844508 "Raghopur PHC Covaxin" Bihar Vaishali Free
10-05-2021 45 6 843114 "Patepur PHC" Bihar Vaishali Free
09-05-2021 45 5 843114 "Patepur PHC" Bihar Vaishali Free
10-05-2021 45 5 844505 "Jandaha PHC" Bihar Vaishali Free
09-05-2021 45 4 844508 "Raghopur PHC Covaxin" Bihar Vaishali Free
10-05-2021 45 4 843102 "Bhagwanpur CHC CoVaxin" Bihar Vaishali Free
10-05-2021 45 4 844111 "Paterhi Belsar PHC Covaxin" Bihar Vaishali Free
09-05-2021 45 3 843114 "Patepur PHC CoVaxin" Bihar Vaishali Free
10-05-2021 45 3 844118 "Goraul PHC" Bihar Vaishali Free
10-05-2021 45 3 844509 "Sahdai Buzurg PHC" Bihar Vaishali Free
09-05-2021 45 2 844118 "Mahua PHC" Bihar Vaishali Free
09-05-2021 45 2 844509 "Sahdai Buzurg PHC" Bihar Vaishali Free
10-05-2021 45 2 844121 "Lalganj RH" Bihar Vaishali Free
10-05-2021 45 2 844111 "Paterhi Belsar PHC" Bihar Vaishali Free
09-05-2021 45 1 844504 "Desri PHC" Bihar Vaishali Free
10-05-2021 45 1 844118 "Mahua PHC" Bihar Vaishali Free
