date min_age_limit available_capacity pincode name state_name district_name fee_type
10-05-2021 45 100 221311 "AD.PHC MAHAGAON" "Uttar Pradesh" Varanasi Free
10-05-2021 45 100 221101 "Ad.PHC Dharahara" "Uttar Pradesh" Varanasi Free
10-05-2021 45 99 221011 "APHC GOBARHAN" "Uttar Pradesh" Varanasi Free
10-05-2021 45 99 221204 "Ad.PHC Deochandpur" "Uttar Pradesh" Varanasi Free
10-05-2021 45 96 221311 "AD.PHC JAGARDEOPUR" "Uttar Pradesh" Varanasi Free
10-05-2021 45 96 221108 "CHC Biraoncoat" "Uttar Pradesh" Varanasi Free
10-05-2021 45 96 221305 "CHC GANGAPUR Pindra" "Uttar Pradesh" Varanasi Free
11-05-2021 45 96 221108 "CHC Biraoncoat" "Uttar Pradesh" Varanasi Free
10-05-2021 45 94 221307 "Add.PHC Domaila" "Uttar Pradesh" Varanasi Free
10-05-2021 45 94 221101 "Ad.PHC Niyardih" "Uttar Pradesh" Varanasi Free
10-05-2021 45 94 221206 "CHC GAJOKHAR" "Uttar Pradesh" Varanasi Free
10-05-2021 45 93 221311 "AD.PHC PRAYAGPUR" "Uttar Pradesh" Varanasi Free
10-05-2021 45 92 221101 "Ad.PHC Danganj" "Uttar Pradesh" Varanasi Free
10-05-2021 45 90 221206 "Ad.PHC Barai Nevada" "Uttar Pradesh" Varanasi Free
10-05-2021 45 90 221405 "Ad.PHC Dandupur" "Uttar Pradesh" Varanasi Free
10-05-2021 45 90 221104 "Health N Wellness Gajapur" "Uttar Pradesh" Varanasi Free
10-05-2021 45 90 221307 AD.MIRJAMURAD "Uttar Pradesh" Varanasi Free
10-05-2021 45 89 221311 "Ad. PHC Kashipur" "Uttar Pradesh" Varanasi Free
10-05-2021 45 86 221305 "Ad. PHC Gangapur Araziline" "Uttar Pradesh" Varanasi Free
10-05-2021 45 85 221305 "A PHC RAJATALAB" "Uttar Pradesh" Varanasi Free
10-05-2021 45 85 221002 "PHC Pindra-" "Uttar Pradesh" Varanasi Free
10-05-2021 45 84 221305 "CHC Araziline" "Uttar Pradesh" Varanasi Free
10-05-2021 45 83 221403 "CHC NARPATPUR COVAX" "Uttar Pradesh" Varanasi Free
10-05-2021 45 82 221004 "Health N Wellness Centre Pure" "Uttar Pradesh" Varanasi Free
10-05-2021 45 82 221403 "CHC HATHI BAZAR" "Uttar Pradesh" Varanasi Free
10-05-2021 45 82 221001 "MEDICAL CARE UNIT" "Uttar Pradesh" Varanasi Free
10-05-2021 45 81 221104 "APHC CHITAUNI" "Uttar Pradesh" Varanasi Free
10-05-2021 45 79 221202 "CHC Puvari Kala" "Uttar Pradesh" Varanasi Free
10-05-2021 45 68 221405 "PHC Sewapuri-" "Uttar Pradesh" Varanasi Free
10-05-2021 45 64 221112 "PHC CHIRAIGAON--" "Uttar Pradesh" Varanasi Free
10-05-2021 45 62 221204 "PHC BARAGAON-" "Uttar Pradesh" Varanasi Free
10-05-2021 45 48 221002 "Raja Baldeo Das Birala Aspatal" "Uttar Pradesh" Varanasi Free
10-05-2021 45 45 221004 "DIVISIONAL HOSPITAL NER" "Uttar Pradesh" Varanasi Free
10-05-2021 45 43 221001 "UCHC Shivpur-" "Uttar Pradesh" Varanasi Free
10-05-2021 45 33 221101 "CHC Cholapur" "Uttar Pradesh" Varanasi Free
10-05-2021 45 31 221003 "APHC KADIPUR" "Uttar Pradesh" Varanasi Free
10-05-2021 45 23 221105 "PHC Harahua Covax" "Uttar Pradesh" Varanasi Free
10-05-2021 45 10 221008 "LBS HOSPITAL RAMNAGAR-" "Uttar Pradesh" Varanasi Free
10-05-2021 45 7 221001 "Mata Anand Mai Hospital" "Uttar Pradesh" Varanasi Free
date min_age_limit available_capacity pincode name state_name district_name fee_type
